info,eval_java_loss,eval_java_class_summary_true_positives,eval_java_class_summary_false_positives,eval_java_class_summary_true_negatives,eval_java_class_summary_false_negatives,eval_java_class_summary_precision,eval_java_class_summary_recall,eval_java_class_summary_f1,eval_java_class_Ownership_true_positives,eval_java_class_Ownership_false_positives,eval_java_class_Ownership_true_negatives,eval_java_class_Ownership_false_negatives,eval_java_class_Ownership_precision,eval_java_class_Ownership_recall,eval_java_class_Ownership_f1,eval_java_class_Expand_true_positives,eval_java_class_Expand_false_positives,eval_java_class_Expand_true_negatives,eval_java_class_Expand_false_negatives,eval_java_class_Expand_precision,eval_java_class_Expand_recall,eval_java_class_Expand_f1,eval_java_class_usage_true_positives,eval_java_class_usage_false_positives,eval_java_class_usage_true_negatives,eval_java_class_usage_false_negatives,eval_java_class_usage_precision,eval_java_class_usage_recall,eval_java_class_usage_f1,eval_java_class_Pointer_true_positives,eval_java_class_Pointer_false_positives,eval_java_class_Pointer_true_negatives,eval_java_class_Pointer_false_negatives,eval_java_class_Pointer_precision,eval_java_class_Pointer_recall,eval_java_class_Pointer_f1,eval_java_class_deprecation_true_positives,eval_java_class_deprecation_false_positives,eval_java_class_deprecation_true_negatives,eval_java_class_deprecation_false_negatives,eval_java_class_deprecation_precision,eval_java_class_deprecation_recall,eval_java_class_deprecation_f1,eval_java_class_rational_true_positives,eval_java_class_rational_false_positives,eval_java_class_rational_true_negatives,eval_java_class_rational_false_negatives,eval_java_class_rational_precision,eval_java_class_rational_recall,eval_java_class_rational_f1,eval_java_runtime,eval_java_samples_per_second,eval_java_steps_per_second,epoch_java,eval_python_loss,eval_python_class_Usage_true_positives,eval_python_class_Usage_false_positives,eval_python_class_Usage_true_negatives,eval_python_class_Usage_false_negatives,eval_python_class_Usage_precision,eval_python_class_Usage_recall,eval_python_class_Usage_f1,eval_python_class_Parameters_true_positives,eval_python_class_Parameters_false_positives,eval_python_class_Parameters_true_negatives,eval_python_class_Parameters_false_negatives,eval_python_class_Parameters_precision,eval_python_class_Parameters_recall,eval_python_class_Parameters_f1,eval_python_class_DevelopmentNotes_true_positives,eval_python_class_DevelopmentNotes_false_positives,eval_python_class_DevelopmentNotes_true_negatives,eval_python_class_DevelopmentNotes_false_negatives,eval_python_class_DevelopmentNotes_precision,eval_python_class_DevelopmentNotes_recall,eval_python_class_DevelopmentNotes_f1,eval_python_class_Expand_true_positives,eval_python_class_Expand_false_positives,eval_python_class_Expand_true_negatives,eval_python_class_Expand_false_negatives,eval_python_class_Expand_precision,eval_python_class_Expand_recall,eval_python_class_Expand_f1,eval_python_class_Summary_true_positives,eval_python_class_Summary_false_positives,eval_python_class_Summary_true_negatives,eval_python_class_Summary_false_negatives,eval_python_class_Summary_precision,eval_python_class_Summary_recall,eval_python_class_Summary_f1,eval_python_runtime,eval_python_samples_per_second,eval_python_steps_per_second,epoch_python,eval_pharo_loss,eval_pharo_class_Keyimplementationpoints_true_positives,eval_pharo_class_Keyimplementationpoints_false_positives,eval_pharo_class_Keyimplementationpoints_true_negatives,eval_pharo_class_Keyimplementationpoints_false_negatives,eval_pharo_class_Keyimplementationpoints_precision,eval_pharo_class_Keyimplementationpoints_recall,eval_pharo_class_Keyimplementationpoints_f1,eval_pharo_class_Example_true_positives,eval_pharo_class_Example_false_positives,eval_pharo_class_Example_true_negatives,eval_pharo_class_Example_false_negatives,eval_pharo_class_Example_precision,eval_pharo_class_Example_recall,eval_pharo_class_Example_f1,eval_pharo_class_Responsibilities_true_positives,eval_pharo_class_Responsibilities_false_positives,eval_pharo_class_Responsibilities_true_negatives,eval_pharo_class_Responsibilities_false_negatives,eval_pharo_class_Responsibilities_precision,eval_pharo_class_Responsibilities_recall,eval_pharo_class_Responsibilities_f1,eval_pharo_class_Classreferences_true_positives,eval_pharo_class_Classreferences_false_positives,eval_pharo_class_Classreferences_true_negatives,eval_pharo_class_Classreferences_false_negatives,eval_pharo_class_Classreferences_precision,eval_pharo_class_Classreferences_recall,eval_pharo_class_Classreferences_f1,eval_pharo_class_Intent_true_positives,eval_pharo_class_Intent_false_positives,eval_pharo_class_Intent_true_negatives,eval_pharo_class_Intent_false_negatives,eval_pharo_class_Intent_precision,eval_pharo_class_Intent_recall,eval_pharo_class_Intent_f1,eval_pharo_class_Keymessages_true_positives,eval_pharo_class_Keymessages_false_positives,eval_pharo_class_Keymessages_true_negatives,eval_pharo_class_Keymessages_false_negatives,eval_pharo_class_Keymessages_precision,eval_pharo_class_Keymessages_recall,eval_pharo_class_Keymessages_f1,eval_pharo_class_Collaborators_true_positives,eval_pharo_class_Collaborators_false_positives,eval_pharo_class_Collaborators_true_negatives,eval_pharo_class_Collaborators_false_negatives,eval_pharo_class_Collaborators_precision,eval_pharo_class_Collaborators_recall,eval_pharo_class_Collaborators_f1,eval_pharo_runtime,eval_pharo_samples_per_second,eval_pharo_steps_per_second,epoch_pharo
22638_roberta-base_1_1_0_3e-05_no,0.1554183959960937,865.0,134.0,699.0,27.0,0.8658658658658659,0.9697309417040358,0.9148598625066102,44.0,0.0,1680.0,1.0,1.0,0.9777777777777776,0.9887640449438202,22.0,46.0,1577.0,80.0,0.3235294117647059,0.2156862745098039,0.2588235294117647,343.0,18.0,1276.0,88.0,0.9501385041551248,0.7958236658932715,0.8661616161616161,170.0,20.0,1521.0,14.0,0.8947368421052632,0.9239130434782608,0.9090909090909092,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,2.0,9.0,1648.0,66.0,0.1818181818181818,0.0294117647058823,0.050632911392405,30.8675,55.884,55.884,1.0,0.4878078401088714,54.0,32.0,253.0,67.0,0.627906976744186,0.4462809917355372,0.5217391304347826,0.0,0.0,278.0,128.0,0.0,0.0,0.0,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,0.0,0.0,324.0,82.0,0.0,0.0,0.0,3.4397,118.034,118.034,1.0,0.265665054321289,22.0,41.0,205.0,21.0,0.3492063492063492,0.5116279069767442,0.4150943396226415,102.0,23.0,147.0,17.0,0.816,0.8571428571428571,0.8360655737704918,17.0,8.0,229.0,35.0,0.68,0.3269230769230769,0.4415584415584415,0.0,0.0,285.0,4.0,0.0,0.0,0.0,25.0,1.0,258.0,5.0,0.9615384615384616,0.8333333333333334,0.8928571428571429,6.0,1.0,245.0,37.0,0.8571428571428571,0.1395348837209302,0.24,0.0,0.0,279.0,10.0,0.0,0.0,0.0,3.416,84.602,84.602,1.0
22638_roberta-base_1_1_0.01_3e-05_no,0.1517216563224792,830.0,102.0,731.0,62.0,0.8905579399141631,0.9304932735426008,0.9100877192982456,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,9.0,26.0,1597.0,93.0,0.2571428571428571,0.088235294117647,0.1313868613138686,346.0,23.0,1271.0,85.0,0.9376693766937668,0.802784222737819,0.8650000000000001,171.0,22.0,1519.0,13.0,0.8860103626943006,0.9293478260869564,0.907161803713528,6.0,2.0,1708.0,9.0,0.75,0.4,0.5217391304347827,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,31.124,55.423,55.423,1.0,0.4907310009002685,56.0,21.0,264.0,65.0,0.7272727272727273,0.4628099173553719,0.5656565656565656,18.0,18.0,260.0,110.0,0.5,0.140625,0.2195121951219512,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,0.0,0.0,324.0,82.0,0.0,0.0,0.0,4.3666,92.979,92.979,1.0,0.3011333048343658,0.0,0.0,246.0,43.0,0.0,0.0,0.0,93.0,27.0,143.0,26.0,0.775,0.7815126050420168,0.7782426778242678,12.0,5.0,232.0,40.0,0.7058823529411765,0.2307692307692307,0.3478260869565218,0.0,0.0,285.0,4.0,0.0,0.0,0.0,24.0,2.0,257.0,6.0,0.9230769230769232,0.8,0.8571428571428571,10.0,10.0,236.0,33.0,0.5,0.2325581395348837,0.3174603174603174,0.0,0.0,279.0,10.0,0.0,0.0,0.0,3.4071,84.824,84.824,1.0
22638_roberta-base_1_1_0.001_3e-05_no,0.1755452901124954,852.0,155.0,678.0,40.0,0.846077457795432,0.9551569506726456,0.8973143759873619,36.0,0.0,1680.0,9.0,1.0,0.8,0.888888888888889,0.0,0.0,1623.0,102.0,0.0,0.0,0.0,295.0,2.0,1292.0,136.0,0.9932659932659932,0.6844547563805105,0.8104395604395604,169.0,42.0,1499.0,15.0,0.8009478672985783,0.9184782608695652,0.8556962025316456,0.0,0.0,1710.0,15.0,0.0,0.0,0.0,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,32.3756,53.281,53.281,1.0,0.4338285028934479,61.0,23.0,262.0,60.0,0.7261904761904762,0.5041322314049587,0.5951219512195122,84.0,24.0,254.0,44.0,0.7777777777777778,0.65625,0.711864406779661,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,43.0,38.0,286.0,39.0,0.5308641975308642,0.524390243902439,0.5276073619631901,3.4517,117.623,117.623,1.0,0.2773451209068298,15.0,24.0,222.0,28.0,0.3846153846153846,0.3488372093023256,0.3658536585365854,104.0,29.0,141.0,15.0,0.7819548872180451,0.8739495798319328,0.8253968253968254,15.0,5.0,232.0,37.0,0.75,0.2884615384615384,0.4166666666666667,0.0,0.0,285.0,4.0,0.0,0.0,0.0,26.0,1.0,258.0,4.0,0.9629629629629628,0.8666666666666667,0.912280701754386,2.0,0.0,246.0,41.0,1.0,0.0465116279069767,0.0888888888888888,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.4814,116.467,116.467,1.0
22638_roberta-base_2_1_0_3e-05_no,0.1520045399665832,833.0,110.0,723.0,59.0,0.8833510074231177,0.9338565022421524,0.907901907356948,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,27.0,55.0,1568.0,75.0,0.3292682926829268,0.2647058823529412,0.2934782608695652,341.0,20.0,1274.0,90.0,0.9445983379501384,0.7911832946635731,0.8611111111111112,170.0,38.0,1503.0,14.0,0.8173076923076923,0.9239130434782608,0.8673469387755101,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,3.0,20.0,1637.0,65.0,0.1304347826086956,0.0441176470588235,0.0659340659340659,25.8411,66.754,33.396,1.0,0.4168676435947418,59.0,17.0,268.0,62.0,0.7763157894736842,0.4876033057851239,0.598984771573604,67.0,27.0,251.0,61.0,0.7127659574468085,0.5234375,0.6036036036036035,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,53.0,45.0,279.0,29.0,0.5408163265306123,0.6463414634146342,0.5888888888888889,1.7785,228.281,114.14,1.0,0.2460932433605194,1.0,5.0,241.0,42.0,0.1666666666666666,0.0232558139534883,0.0408163265306122,104.0,26.0,144.0,15.0,0.8,0.8739495798319328,0.8353413654618475,22.0,9.0,228.0,30.0,0.7096774193548387,0.4230769230769231,0.5301204819277108,0.0,0.0,285.0,4.0,0.0,0.0,0.0,26.0,1.0,258.0,4.0,0.9629629629629628,0.8666666666666667,0.912280701754386,5.0,1.0,245.0,38.0,0.8333333333333334,0.1162790697674418,0.2040816326530612,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2722,227.163,113.974,1.0
22638_roberta-base_2_1_0.01_3e-05_no,0.1463740170001983,830.0,116.0,717.0,62.0,0.8773784355179705,0.9304932735426008,0.9031556039173014,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,23.0,53.0,1570.0,79.0,0.3026315789473684,0.2254901960784313,0.2584269662921348,344.0,17.0,1277.0,87.0,0.9529085872576176,0.7981438515081206,0.8686868686868685,170.0,34.0,1507.0,14.0,0.8333333333333334,0.9239130434782608,0.8762886597938144,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,0.0,3.0,1654.0,68.0,0.0,0.0,0.0,26.3654,65.427,32.732,1.0,0.4200288355350494,57.0,16.0,269.0,64.0,0.7808219178082192,0.4710743801652892,0.5876288659793814,64.0,17.0,261.0,64.0,0.7901234567901234,0.5,0.6124401913875598,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,60.0,62.0,262.0,22.0,0.4918032786885246,0.7317073170731707,0.5882352941176471,2.7348,148.456,74.228,1.0,0.2425436228513717,4.0,7.0,239.0,39.0,0.3636363636363636,0.0930232558139534,0.1481481481481481,103.0,21.0,149.0,16.0,0.8306451612903226,0.865546218487395,0.8477366255144033,23.0,9.0,228.0,29.0,0.71875,0.4423076923076923,0.5476190476190477,0.0,0.0,285.0,4.0,0.0,0.0,0.0,26.0,1.0,258.0,4.0,0.9629629629629628,0.8666666666666667,0.912280701754386,7.0,2.0,244.0,36.0,0.7777777777777778,0.1627906976744186,0.2692307692307693,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2723,227.152,113.969,1.0
22638_roberta-base_2_1_0.001_3e-05_no,0.1531625837087631,830.0,104.0,729.0,62.0,0.8886509635974305,0.9304932735426008,0.9090909090909092,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,37.0,68.0,1555.0,65.0,0.3523809523809524,0.3627450980392157,0.357487922705314,326.0,20.0,1274.0,105.0,0.9421965317919077,0.7563805104408353,0.8391248391248392,170.0,35.0,1506.0,14.0,0.8292682926829268,0.9239130434782608,0.8740359897172237,9.0,2.0,1708.0,6.0,0.8181818181818182,0.6,0.6923076923076923,3.0,12.0,1645.0,65.0,0.2,0.0441176470588235,0.072289156626506,27.6114,62.474,31.255,1.0,0.4231010675430298,55.0,16.0,269.0,66.0,0.7746478873239436,0.4545454545454545,0.5729166666666666,62.0,19.0,259.0,66.0,0.7654320987654321,0.484375,0.5933014354066986,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,52.0,48.0,276.0,30.0,0.52,0.6341463414634146,0.5714285714285714,2.716,149.485,74.743,1.0,0.244418129324913,2.0,5.0,241.0,41.0,0.2857142857142857,0.0465116279069767,0.08,104.0,23.0,147.0,15.0,0.8188976377952756,0.8739495798319328,0.8455284552845529,22.0,8.0,229.0,30.0,0.7333333333333333,0.4230769230769231,0.5365853658536585,0.0,0.0,285.0,4.0,0.0,0.0,0.0,26.0,1.0,258.0,4.0,0.9629629629629628,0.8666666666666667,0.912280701754386,7.0,3.0,243.0,36.0,0.7,0.1627906976744186,0.2641509433962264,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2717,227.25,114.018,1.0
22638_roberta-base_4_1_0_3e-05_no,0.141880452632904,834.0,121.0,712.0,58.0,0.8732984293193717,0.9349775784753364,0.9030860855441256,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,24.0,41.0,1582.0,78.0,0.3692307692307692,0.2352941176470588,0.2874251497005988,332.0,17.0,1277.0,99.0,0.9512893982808024,0.7703016241299304,0.8512820512820513,170.0,36.0,1505.0,14.0,0.8252427184466019,0.9239130434782608,0.8717948717948718,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,2.0,12.0,1645.0,66.0,0.1428571428571428,0.0294117647058823,0.048780487804878,25.0179,68.951,17.268,1.0,0.3805691599845886,56.0,12.0,273.0,65.0,0.8235294117647058,0.4628099173553719,0.5925925925925926,74.0,14.0,264.0,54.0,0.8409090909090909,0.578125,0.6851851851851852,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,48.0,20.0,304.0,34.0,0.7058823529411765,0.5853658536585366,0.64,1.1687,347.404,87.279,1.0,0.2555409073829651,0.0,4.0,242.0,43.0,0.0,0.0,0.0,100.0,22.0,148.0,19.0,0.819672131147541,0.8403361344537815,0.8298755186721991,17.0,5.0,232.0,35.0,0.7727272727272727,0.3269230769230769,0.4594594594594594,0.0,0.0,285.0,4.0,0.0,0.0,0.0,25.0,3.0,256.0,5.0,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.7419,389.56,98.401,1.0
22638_roberta-base_4_1_0.01_3e-05_no,0.141101062297821,829.0,108.0,725.0,63.0,0.8847385272145144,0.929372197309417,0.9065062875888464,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,10.0,21.0,1602.0,92.0,0.3225806451612903,0.0980392156862745,0.150375939849624,325.0,14.0,1280.0,106.0,0.9587020648967552,0.7540603248259861,0.8441558441558441,170.0,40.0,1501.0,14.0,0.8095238095238095,0.9239130434782608,0.8629441624365481,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,3.0,12.0,1645.0,65.0,0.2,0.0441176470588235,0.072289156626506,24.8654,69.374,17.374,1.0,0.3821013569831848,57.0,14.0,271.0,64.0,0.8028169014084507,0.4710743801652892,0.59375,74.0,16.0,262.0,54.0,0.8222222222222222,0.578125,0.6788990825688074,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,49.0,24.0,300.0,33.0,0.6712328767123288,0.5975609756097561,0.632258064516129,0.9037,449.243,112.864,1.0,0.2663487195968628,0.0,3.0,243.0,43.0,0.0,0.0,0.0,97.0,29.0,141.0,22.0,0.7698412698412699,0.8151260504201681,0.7918367346938775,16.0,12.0,225.0,36.0,0.5714285714285714,0.3076923076923077,0.4,0.0,0.0,285.0,4.0,0.0,0.0,0.0,26.0,3.0,256.0,4.0,0.896551724137931,0.8666666666666667,0.8813559322033899,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.7355,392.952,99.258,1.0
22638_roberta-base_4_1_0.001_3e-05_no,0.1413833200931549,837.0,116.0,717.0,55.0,0.8782791185729276,0.938340807174888,0.9073170731707316,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,6.0,7.0,1616.0,96.0,0.4615384615384615,0.0588235294117647,0.1043478260869565,321.0,12.0,1282.0,110.0,0.963963963963964,0.7447795823665894,0.8403141361256544,170.0,39.0,1502.0,14.0,0.8133971291866029,0.9239130434782608,0.8651399491094148,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,3.0,14.0,1643.0,65.0,0.1764705882352941,0.0441176470588235,0.0705882352941176,24.8177,69.507,17.407,1.0,0.3830551505088806,57.0,12.0,273.0,64.0,0.8260869565217391,0.4710743801652892,0.5999999999999999,74.0,15.0,263.0,54.0,0.8314606741573034,0.578125,0.6820276497695853,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,53.0,31.0,293.0,29.0,0.6309523809523809,0.6463414634146342,0.6385542168674698,0.9068,447.706,112.478,1.0,0.2582083344459533,0.0,4.0,242.0,43.0,0.0,0.0,0.0,103.0,18.0,152.0,16.0,0.8512396694214877,0.865546218487395,0.8583333333333334,18.0,10.0,227.0,34.0,0.6428571428571429,0.3461538461538461,0.45,0.0,0.0,285.0,4.0,0.0,0.0,0.0,25.0,9.0,250.0,5.0,0.7352941176470589,0.8333333333333334,0.78125,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.1351,254.607,64.312,1.0
22638_roberta-base_8_1_0_3e-05_no,0.1288354247808456,835.0,111.0,722.0,57.0,0.8826638477801269,0.9360986547085202,0.9085963003264418,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,9.0,17.0,1606.0,93.0,0.3461538461538461,0.088235294117647,0.140625,348.0,28.0,1266.0,83.0,0.925531914893617,0.8074245939675174,0.8624535315985131,171.0,33.0,1508.0,13.0,0.8382352941176471,0.9293478260869564,0.8814432989690721,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,0.0,5.0,1652.0,68.0,0.0,0.0,0.0,22.7968,75.668,9.475,1.0,0.4358525276184082,52.0,27.0,258.0,69.0,0.6582278481012658,0.4297520661157025,0.52,48.0,19.0,259.0,80.0,0.7164179104477612,0.375,0.4923076923076924,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,15.0,3.0,321.0,67.0,0.8333333333333334,0.1829268292682926,0.3,0.6546,620.198,77.907,1.0,0.2834249436855316,0.0,0.0,246.0,43.0,0.0,0.0,0.0,101.0,20.0,150.0,18.0,0.8347107438016529,0.8487394957983193,0.8416666666666667,5.0,14.0,223.0,47.0,0.2631578947368421,0.0961538461538461,0.1408450704225352,0.0,0.0,285.0,4.0,0.0,0.0,0.0,5.0,0.0,259.0,25.0,1.0,0.1666666666666666,0.2857142857142857,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.5732,504.168,64.548,1.0
