info,eval_java_loss,eval_java_class_summary_true_positives,eval_java_class_summary_false_positives,eval_java_class_summary_true_negatives,eval_java_class_summary_false_negatives,eval_java_class_summary_precision,eval_java_class_summary_recall,eval_java_class_summary_f1,eval_java_class_Ownership_true_positives,eval_java_class_Ownership_false_positives,eval_java_class_Ownership_true_negatives,eval_java_class_Ownership_false_negatives,eval_java_class_Ownership_precision,eval_java_class_Ownership_recall,eval_java_class_Ownership_f1,eval_java_class_Expand_true_positives,eval_java_class_Expand_false_positives,eval_java_class_Expand_true_negatives,eval_java_class_Expand_false_negatives,eval_java_class_Expand_precision,eval_java_class_Expand_recall,eval_java_class_Expand_f1,eval_java_class_usage_true_positives,eval_java_class_usage_false_positives,eval_java_class_usage_true_negatives,eval_java_class_usage_false_negatives,eval_java_class_usage_precision,eval_java_class_usage_recall,eval_java_class_usage_f1,eval_java_class_Pointer_true_positives,eval_java_class_Pointer_false_positives,eval_java_class_Pointer_true_negatives,eval_java_class_Pointer_false_negatives,eval_java_class_Pointer_precision,eval_java_class_Pointer_recall,eval_java_class_Pointer_f1,eval_java_class_deprecation_true_positives,eval_java_class_deprecation_false_positives,eval_java_class_deprecation_true_negatives,eval_java_class_deprecation_false_negatives,eval_java_class_deprecation_precision,eval_java_class_deprecation_recall,eval_java_class_deprecation_f1,eval_java_class_rational_true_positives,eval_java_class_rational_false_positives,eval_java_class_rational_true_negatives,eval_java_class_rational_false_negatives,eval_java_class_rational_precision,eval_java_class_rational_recall,eval_java_class_rational_f1,eval_java_runtime,eval_java_samples_per_second,eval_java_steps_per_second,epoch_java,eval_python_loss,eval_python_class_Usage_true_positives,eval_python_class_Usage_false_positives,eval_python_class_Usage_true_negatives,eval_python_class_Usage_false_negatives,eval_python_class_Usage_precision,eval_python_class_Usage_recall,eval_python_class_Usage_f1,eval_python_class_Parameters_true_positives,eval_python_class_Parameters_false_positives,eval_python_class_Parameters_true_negatives,eval_python_class_Parameters_false_negatives,eval_python_class_Parameters_precision,eval_python_class_Parameters_recall,eval_python_class_Parameters_f1,eval_python_class_DevelopmentNotes_true_positives,eval_python_class_DevelopmentNotes_false_positives,eval_python_class_DevelopmentNotes_true_negatives,eval_python_class_DevelopmentNotes_false_negatives,eval_python_class_DevelopmentNotes_precision,eval_python_class_DevelopmentNotes_recall,eval_python_class_DevelopmentNotes_f1,eval_python_class_Expand_true_positives,eval_python_class_Expand_false_positives,eval_python_class_Expand_true_negatives,eval_python_class_Expand_false_negatives,eval_python_class_Expand_precision,eval_python_class_Expand_recall,eval_python_class_Expand_f1,eval_python_class_Summary_true_positives,eval_python_class_Summary_false_positives,eval_python_class_Summary_true_negatives,eval_python_class_Summary_false_negatives,eval_python_class_Summary_precision,eval_python_class_Summary_recall,eval_python_class_Summary_f1,eval_python_runtime,eval_python_samples_per_second,eval_python_steps_per_second,epoch_python,eval_pharo_loss,eval_pharo_class_Keyimplementationpoints_true_positives,eval_pharo_class_Keyimplementationpoints_false_positives,eval_pharo_class_Keyimplementationpoints_true_negatives,eval_pharo_class_Keyimplementationpoints_false_negatives,eval_pharo_class_Keyimplementationpoints_precision,eval_pharo_class_Keyimplementationpoints_recall,eval_pharo_class_Keyimplementationpoints_f1,eval_pharo_class_Example_true_positives,eval_pharo_class_Example_false_positives,eval_pharo_class_Example_true_negatives,eval_pharo_class_Example_false_negatives,eval_pharo_class_Example_precision,eval_pharo_class_Example_recall,eval_pharo_class_Example_f1,eval_pharo_class_Responsibilities_true_positives,eval_pharo_class_Responsibilities_false_positives,eval_pharo_class_Responsibilities_true_negatives,eval_pharo_class_Responsibilities_false_negatives,eval_pharo_class_Responsibilities_precision,eval_pharo_class_Responsibilities_recall,eval_pharo_class_Responsibilities_f1,eval_pharo_class_Classreferences_true_positives,eval_pharo_class_Classreferences_false_positives,eval_pharo_class_Classreferences_true_negatives,eval_pharo_class_Classreferences_false_negatives,eval_pharo_class_Classreferences_precision,eval_pharo_class_Classreferences_recall,eval_pharo_class_Classreferences_f1,eval_pharo_class_Intent_true_positives,eval_pharo_class_Intent_false_positives,eval_pharo_class_Intent_true_negatives,eval_pharo_class_Intent_false_negatives,eval_pharo_class_Intent_precision,eval_pharo_class_Intent_recall,eval_pharo_class_Intent_f1,eval_pharo_class_Keymessages_true_positives,eval_pharo_class_Keymessages_false_positives,eval_pharo_class_Keymessages_true_negatives,eval_pharo_class_Keymessages_false_negatives,eval_pharo_class_Keymessages_precision,eval_pharo_class_Keymessages_recall,eval_pharo_class_Keymessages_f1,eval_pharo_class_Collaborators_true_positives,eval_pharo_class_Collaborators_false_positives,eval_pharo_class_Collaborators_true_negatives,eval_pharo_class_Collaborators_false_negatives,eval_pharo_class_Collaborators_precision,eval_pharo_class_Collaborators_recall,eval_pharo_class_Collaborators_f1,eval_pharo_runtime,eval_pharo_samples_per_second,eval_pharo_steps_per_second,epoch_pharo
10014954_roberta-base_1_1_0_3e-05_no,1.1295827931834144,857.0,138.0,695.0,35.0,0.8613065326633166,0.9607623318385652,0.908320084790673,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,21.0,43.0,1580.0,81.0,0.328125,0.2058823529411764,0.2530120481927711,357.0,37.0,1257.0,74.0,0.9060913705583756,0.8283062645011601,0.8654545454545455,170.0,29.0,1512.0,14.0,0.8542713567839196,0.9239130434782608,0.8877284595300262,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,2.0,17.0,1640.0,66.0,0.1052631578947368,0.0294117647058823,0.0459770114942528,16.014,107.718,107.718,1.0,10.561082654573124,0.0,0.0,285.0,121.0,0.0,0.0,0.0,0.0,0.0,278.0,128.0,0.0,0.0,0.0,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,0.0,0.0,324.0,82.0,0.0,0.0,0.0,2.9261,138.752,138.752,1.0,3.7768547462410926,0.0,0.0,246.0,43.0,0.0,0.0,0.0,95.0,37.0,133.0,24.0,0.7196969696969697,0.7983193277310925,0.7569721115537849,39.0,43.0,194.0,13.0,0.4756097560975609,0.75,0.582089552238806,0.0,0.0,285.0,4.0,0.0,0.0,0.0,26.0,4.0,255.0,4.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.1048,137.306,137.306,1.0
10014954_roberta-base_1_1_0.01_3e-05_no,1.2776635617365106,851.0,136.0,697.0,41.0,0.8622087132725431,0.954035874439462,0.9058009579563598,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,31.0,63.0,1560.0,71.0,0.3297872340425531,0.3039215686274509,0.3163265306122448,346.0,25.0,1269.0,85.0,0.9326145552560648,0.802784222737819,0.8628428927680799,170.0,31.0,1510.0,14.0,0.845771144278607,0.9239130434782608,0.8831168831168832,0.0,0.0,1710.0,15.0,0.0,0.0,0.0,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,16.0333,107.588,107.588,1.0,10.234680310522966,59.0,18.0,267.0,62.0,0.7662337662337663,0.4876033057851239,0.5959595959595959,77.0,31.0,247.0,51.0,0.7129629629629629,0.6015625,0.652542372881356,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,71.0,124.0,200.0,11.0,0.3641025641025641,0.8658536585365854,0.5126353790613719,3.013,134.75,134.75,1.0,4.147949700760912,0.0,0.0,246.0,43.0,0.0,0.0,0.0,95.0,36.0,134.0,24.0,0.7251908396946565,0.7983193277310925,0.7600000000000001,22.0,50.0,187.0,30.0,0.3055555555555556,0.4230769230769231,0.3548387096774194,0.0,0.0,285.0,4.0,0.0,0.0,0.0,0.0,0.0,259.0,30.0,0.0,0.0,0.0,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.1335,135.455,135.455,1.0
10014954_roberta-base_1_1_0.001_3e-05_no,1.139752583129663,854.0,137.0,696.0,38.0,0.8617558022199798,0.9573991031390134,0.9070631970260222,44.0,0.0,1680.0,1.0,1.0,0.9777777777777776,0.9887640449438202,24.0,62.0,1561.0,78.0,0.2790697674418604,0.2352941176470588,0.2553191489361702,342.0,29.0,1265.0,89.0,0.921832884097035,0.7935034802784223,0.8528678304239401,170.0,29.0,1512.0,14.0,0.8542713567839196,0.9239130434782608,0.8877284595300262,0.0,0.0,1710.0,15.0,0.0,0.0,0.0,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,16.0344,107.581,107.581,1.0,10.397533802814744,50.0,18.0,267.0,71.0,0.7352941176470589,0.4132231404958678,0.5291005291005291,91.0,118.0,160.0,37.0,0.4354066985645933,0.7109375,0.5400593471810089,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,0.0,0.0,324.0,82.0,0.0,0.0,0.0,3.0119,134.799,134.799,1.0,6.802130428426037,0.0,0.0,246.0,43.0,0.0,0.0,0.0,119.0,170.0,0.0,0.0,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,0.0,0.0,259.0,30.0,0.0,0.0,0.0,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.1635,133.582,133.582,1.0
10014954_roberta-base_2_1_0_3e-05_no,1.0070593804137302,858.0,152.0,681.0,34.0,0.8495049504950495,0.9618834080717488,0.9022082018927444,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,21.0,60.0,1563.0,81.0,0.2592592592592592,0.2058823529411764,0.2295081967213114,347.0,21.0,1273.0,84.0,0.9429347826086956,0.8051044083526682,0.8685857321652064,171.0,24.0,1517.0,13.0,0.8769230769230769,0.9293478260869564,0.9023746701846964,9.0,7.0,1703.0,6.0,0.5625,0.6,0.5806451612903225,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,12.3434,139.751,69.916,1.0,8.243413021203988,62.0,19.0,266.0,59.0,0.7654320987654321,0.512396694214876,0.6138613861386137,79.0,9.0,269.0,49.0,0.8977272727272727,0.6171875,0.7314814814814815,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,57.0,59.0,265.0,25.0,0.4913793103448275,0.6951219512195121,0.5757575757575757,1.585,256.153,128.077,1.0,2.89363215523945,6.0,7.0,239.0,37.0,0.4615384615384615,0.1395348837209302,0.2142857142857142,103.0,34.0,136.0,16.0,0.7518248175182481,0.865546218487395,0.8046874999999999,17.0,4.0,233.0,35.0,0.8095238095238095,0.3269230769230769,0.4657534246575343,0.0,0.0,285.0,4.0,0.0,0.0,0.0,25.0,2.0,257.0,5.0,0.925925925925926,0.8333333333333334,0.8771929824561403,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.1113,260.063,130.481,1.0
10014954_roberta-base_2_1_0.01_3e-05_no,0.986356651144536,855.0,143.0,690.0,37.0,0.8567134268537074,0.9585201793721974,0.9047619047619048,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,24.0,61.0,1562.0,78.0,0.2823529411764706,0.2352941176470588,0.2566844919786096,333.0,17.0,1277.0,98.0,0.9514285714285714,0.7726218097447796,0.852752880921895,171.0,49.0,1492.0,13.0,0.7772727272727272,0.9293478260869564,0.8465346534653465,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,0.0,5.0,1652.0,68.0,0.0,0.0,0.0,12.3409,139.779,69.93,1.0,8.424451605378273,62.0,20.0,265.0,59.0,0.7560975609756098,0.512396694214876,0.6108374384236454,83.0,18.0,260.0,45.0,0.8217821782178217,0.6484375,0.7248908296943232,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,50.0,61.0,263.0,32.0,0.4504504504504504,0.6097560975609756,0.5181347150259068,1.5726,258.176,129.088,1.0,3.0230429266705574,8.0,7.0,239.0,35.0,0.5333333333333333,0.1860465116279069,0.2758620689655172,105.0,25.0,145.0,14.0,0.8076923076923077,0.8823529411764706,0.8433734939759037,11.0,19.0,218.0,41.0,0.3666666666666666,0.2115384615384615,0.2682926829268292,0.0,0.0,285.0,4.0,0.0,0.0,0.0,23.0,0.0,259.0,7.0,1.0,0.7666666666666667,0.8679245283018869,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.1105,260.254,130.577,1.0
10014954_roberta-base_2_1_0.001_3e-05_no,0.9300463379673074,844.0,123.0,710.0,48.0,0.8728024819027922,0.9461883408071748,0.9080150618612156,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,26.0,68.0,1555.0,76.0,0.2765957446808511,0.2549019607843137,0.2653061224489795,332.0,23.0,1271.0,99.0,0.9352112676056338,0.7703016241299304,0.8447837150127226,170.0,37.0,1504.0,14.0,0.821256038647343,0.9239130434782608,0.8695652173913043,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,12.3383,139.808,69.945,1.0,8.44523300123587,67.0,20.0,265.0,54.0,0.7701149425287356,0.5537190082644629,0.6442307692307693,72.0,9.0,269.0,56.0,0.8888888888888888,0.5625,0.6889952153110048,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,55.0,71.0,253.0,27.0,0.4365079365079365,0.6707317073170732,0.528846153846154,1.5864,255.924,127.962,1.0,2.932801024422912,7.0,7.0,239.0,36.0,0.5,0.1627906976744186,0.2456140350877192,106.0,31.0,139.0,13.0,0.7737226277372263,0.8907563025210085,0.828125,11.0,8.0,229.0,41.0,0.5789473684210527,0.2115384615384615,0.3098591549295774,0.0,0.0,285.0,4.0,0.0,0.0,0.0,22.0,0.0,259.0,8.0,1.0,0.7333333333333333,0.846153846153846,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.1093,260.525,130.713,1.0
10014954_roberta-base_4_1_0_3e-05_no,0.9538231221315024,814.0,112.0,721.0,78.0,0.8790496760259179,0.9125560538116592,0.8954895489548954,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,0.0,4.0,1619.0,102.0,0.0,0.0,0.0,350.0,40.0,1254.0,81.0,0.8974358974358975,0.8120649651972158,0.8526187576126676,171.0,37.0,1504.0,13.0,0.8221153846153846,0.9293478260869564,0.8724489795918366,9.0,3.0,1707.0,6.0,0.75,0.6,0.6666666666666665,2.0,18.0,1639.0,66.0,0.1,0.0294117647058823,0.0454545454545454,10.6213,162.409,40.673,1.0,8.779072221990583,53.0,29.0,256.0,68.0,0.6463414634146342,0.4380165289256198,0.5221674876847291,62.0,18.0,260.0,66.0,0.775,0.484375,0.5961538461538463,0.0,0.0,365.0,41.0,0.0,0.0,0.0,5.0,5.0,337.0,59.0,0.5,0.078125,0.1351351351351351,20.0,12.0,312.0,62.0,0.625,0.2439024390243902,0.3508771929824561,0.7991,508.065,127.642,1.0,3.1358560095462504,0.0,1.0,245.0,43.0,0.0,0.0,0.0,96.0,40.0,130.0,23.0,0.7058823529411765,0.8067226890756303,0.7529411764705882,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,24.0,0.0,259.0,6.0,1.0,0.8,0.888888888888889,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.5693,507.6,128.217,1.0
10014954_roberta-base_4_1_0.01_3e-05_no,0.9372050094800772,807.0,119.0,714.0,85.0,0.8714902807775378,0.9047085201793722,0.8877887788778877,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,0.0,0.0,1623.0,102.0,0.0,0.0,0.0,340.0,40.0,1254.0,91.0,0.8947368421052632,0.7888631090487239,0.8384710234278668,172.0,51.0,1490.0,12.0,0.7713004484304933,0.9347826086956522,0.8452088452088452,9.0,1.0,1709.0,6.0,0.9,0.6,0.7200000000000001,2.0,9.0,1648.0,66.0,0.1818181818181818,0.0294117647058823,0.050632911392405,10.6107,162.572,40.714,1.0,8.53379133274114,55.0,29.0,256.0,66.0,0.6547619047619048,0.4545454545454545,0.5365853658536586,64.0,11.0,267.0,64.0,0.8533333333333334,0.5,0.6305418719211823,0.0,0.0,365.0,41.0,0.0,0.0,0.0,2.0,3.0,339.0,62.0,0.4,0.03125,0.0579710144927536,38.0,18.0,306.0,44.0,0.6785714285714286,0.4634146341463415,0.5507246376811594,0.8002,507.348,127.462,1.0,3.166186920185153,0.0,1.0,245.0,43.0,0.0,0.0,0.0,94.0,36.0,134.0,25.0,0.7230769230769231,0.7899159663865546,0.7550200803212851,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,23.0,0.0,259.0,7.0,1.0,0.7666666666666667,0.8679245283018869,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.5747,502.839,127.015,1.0
10014954_roberta-base_4_1_0.001_3e-05_no,0.9655482057332512,834.0,133.0,700.0,58.0,0.8624612202688728,0.9349775784753364,0.897256589564282,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,6.0,8.0,1615.0,96.0,0.4285714285714285,0.0588235294117647,0.1034482758620689,350.0,38.0,1256.0,81.0,0.9020618556701032,0.8120649651972158,0.8547008547008549,171.0,46.0,1495.0,13.0,0.7880184331797235,0.9293478260869564,0.8528678304239402,9.0,4.0,1706.0,6.0,0.6923076923076923,0.6,0.6428571428571429,2.0,10.0,1647.0,66.0,0.1666666666666666,0.0294117647058823,0.05,10.6077,162.617,40.725,1.0,10.158917673227323,0.0,0.0,285.0,121.0,0.0,0.0,0.0,0.0,0.0,278.0,128.0,0.0,0.0,0.0,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,0.0,0.0,324.0,82.0,0.0,0.0,0.0,0.7861,516.469,129.753,1.0,3.143945002431737,2.0,3.0,243.0,41.0,0.4,0.0465116279069767,0.0833333333333333,99.0,37.0,133.0,20.0,0.7279411764705882,0.8319327731092437,0.776470588235294,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,22.0,2.0,257.0,8.0,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.5658,510.772,129.018,1.0
10014954_roberta-base_8_1_0_3e-05_no,0.8113606612618713,847.0,121.0,712.0,45.0,0.875,0.9495515695067264,0.910752688172043,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,5.0,8.0,1615.0,97.0,0.3846153846153846,0.0490196078431372,0.0869565217391304,358.0,43.0,1251.0,73.0,0.8927680798004988,0.8306264501160093,0.8605769230769231,172.0,27.0,1514.0,12.0,0.864321608040201,0.9347826086956522,0.8981723237597912,9.0,0.0,1710.0,6.0,1.0,0.6,0.7499999999999999,3.0,16.0,1641.0,65.0,0.1578947368421052,0.0441176470588235,0.0689655172413793,9.4913,181.746,22.758,1.0,9.549363565778108,35.0,10.0,275.0,86.0,0.7777777777777778,0.2892561983471074,0.4216867469879518,0.0,0.0,278.0,128.0,0.0,0.0,0.0,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,0.0,0.0,324.0,82.0,0.0,0.0,0.0,0.4105,988.96,124.229,1.0,3.4691490093721047,0.0,0.0,246.0,43.0,0.0,0.0,0.0,86.0,29.0,141.0,33.0,0.7478260869565218,0.7226890756302521,0.7350427350427351,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,0.0,0.0,259.0,30.0,0.0,0.0,0.0,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.3485,829.264,106.169,1.0
