info,eval_java_class_summary_true_positives,eval_java_class_summary_false_positives,eval_java_class_summary_true_negatives,eval_java_class_summary_false_negatives,eval_java_class_summary_precision,eval_java_class_summary_recall,eval_java_class_summary_f1,eval_java_class_Ownership_true_positives,eval_java_class_Ownership_false_positives,eval_java_class_Ownership_true_negatives,eval_java_class_Ownership_false_negatives,eval_java_class_Ownership_precision,eval_java_class_Ownership_recall,eval_java_class_Ownership_f1,eval_java_class_Expand_true_positives,eval_java_class_Expand_false_positives,eval_java_class_Expand_true_negatives,eval_java_class_Expand_false_negatives,eval_java_class_Expand_precision,eval_java_class_Expand_recall,eval_java_class_Expand_f1,eval_java_class_usage_true_positives,eval_java_class_usage_false_positives,eval_java_class_usage_true_negatives,eval_java_class_usage_false_negatives,eval_java_class_usage_precision,eval_java_class_usage_recall,eval_java_class_usage_f1,eval_java_class_Pointer_true_positives,eval_java_class_Pointer_false_positives,eval_java_class_Pointer_true_negatives,eval_java_class_Pointer_false_negatives,eval_java_class_Pointer_precision,eval_java_class_Pointer_recall,eval_java_class_Pointer_f1,eval_java_class_deprecation_true_positives,eval_java_class_deprecation_false_positives,eval_java_class_deprecation_true_negatives,eval_java_class_deprecation_false_negatives,eval_java_class_deprecation_precision,eval_java_class_deprecation_recall,eval_java_class_deprecation_f1,eval_java_class_rational_true_positives,eval_java_class_rational_false_positives,eval_java_class_rational_true_negatives,eval_java_class_rational_false_negatives,eval_java_class_rational_precision,eval_java_class_rational_recall,eval_java_class_rational_f1,eval_python_class_Usage_true_positives,eval_python_class_Usage_false_positives,eval_python_class_Usage_true_negatives,eval_python_class_Usage_false_negatives,eval_python_class_Usage_precision,eval_python_class_Usage_recall,eval_python_class_Usage_f1,eval_python_class_Parameters_true_positives,eval_python_class_Parameters_false_positives,eval_python_class_Parameters_true_negatives,eval_python_class_Parameters_false_negatives,eval_python_class_Parameters_precision,eval_python_class_Parameters_recall,eval_python_class_Parameters_f1,eval_python_class_DevelopmentNotes_true_positives,eval_python_class_DevelopmentNotes_false_positives,eval_python_class_DevelopmentNotes_true_negatives,eval_python_class_DevelopmentNotes_false_negatives,eval_python_class_DevelopmentNotes_precision,eval_python_class_DevelopmentNotes_recall,eval_python_class_DevelopmentNotes_f1,eval_python_class_Expand_true_positives,eval_python_class_Expand_false_positives,eval_python_class_Expand_true_negatives,eval_python_class_Expand_false_negatives,eval_python_class_Expand_precision,eval_python_class_Expand_recall,eval_python_class_Expand_f1,eval_python_class_Summary_true_positives,eval_python_class_Summary_false_positives,eval_python_class_Summary_true_negatives,eval_python_class_Summary_false_negatives,eval_python_class_Summary_precision,eval_python_class_Summary_recall,eval_python_class_Summary_f1,eval_pharo_class_Keyimplementationpoints_true_positives,eval_pharo_class_Keyimplementationpoints_false_positives,eval_pharo_class_Keyimplementationpoints_true_negatives,eval_pharo_class_Keyimplementationpoints_false_negatives,eval_pharo_class_Keyimplementationpoints_precision,eval_pharo_class_Keyimplementationpoints_recall,eval_pharo_class_Keyimplementationpoints_f1,eval_pharo_class_Example_true_positives,eval_pharo_class_Example_false_positives,eval_pharo_class_Example_true_negatives,eval_pharo_class_Example_false_negatives,eval_pharo_class_Example_precision,eval_pharo_class_Example_recall,eval_pharo_class_Example_f1,eval_pharo_class_Responsibilities_true_positives,eval_pharo_class_Responsibilities_false_positives,eval_pharo_class_Responsibilities_true_negatives,eval_pharo_class_Responsibilities_false_negatives,eval_pharo_class_Responsibilities_precision,eval_pharo_class_Responsibilities_recall,eval_pharo_class_Responsibilities_f1,eval_pharo_class_Classreferences_true_positives,eval_pharo_class_Classreferences_false_positives,eval_pharo_class_Classreferences_true_negatives,eval_pharo_class_Classreferences_false_negatives,eval_pharo_class_Classreferences_precision,eval_pharo_class_Classreferences_recall,eval_pharo_class_Classreferences_f1,eval_pharo_class_Intent_true_positives,eval_pharo_class_Intent_false_positives,eval_pharo_class_Intent_true_negatives,eval_pharo_class_Intent_false_negatives,eval_pharo_class_Intent_precision,eval_pharo_class_Intent_recall,eval_pharo_class_Intent_f1,eval_pharo_class_Keymessages_true_positives,eval_pharo_class_Keymessages_false_positives,eval_pharo_class_Keymessages_true_negatives,eval_pharo_class_Keymessages_false_negatives,eval_pharo_class_Keymessages_precision,eval_pharo_class_Keymessages_recall,eval_pharo_class_Keymessages_f1,eval_pharo_class_Collaborators_true_positives,eval_pharo_class_Collaborators_false_positives,eval_pharo_class_Collaborators_true_negatives,eval_pharo_class_Collaborators_false_negatives,eval_pharo_class_Collaborators_precision,eval_pharo_class_Collaborators_recall,eval_pharo_class_Collaborators_f1
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.01_2e-25,847,128,705,45,0.8687179487179487,0.9495515695067264,0.9073379753615426,45,1,1679,0,0.9782608695652174,1,0.989010989010989,0,0,1623,102,0,0,0,367,64,1230,64,0.851508120649652,0.851508120649652,0.851508120649652,168,32,1509,16,0.84,0.9130434782608696,0.8749999999999999,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,54,12,273,67,0.8181818181818182,0.4462809917355372,0.5775401069518717,67,2,276,61,0.9710144927536232,0.5234375,0.6802030456852792,0,0,365,41,0,0,0,0,0,342,64,0,0,0,56,27,297,26,0.6746987951807228,0.6829268292682927,0.6787878787878787,0,0,246,43,0,0,0,87,19,151,32,0.8207547169811321,0.7310924369747899,0.7733333333333333,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.01_3e-25,847,128,705,45,0.8687179487179487,0.9495515695067264,0.9073379753615426,45,1,1679,0,0.9782608695652174,1,0.989010989010989,0,0,1623,102,0,0,0,367,64,1230,64,0.851508120649652,0.851508120649652,0.851508120649652,168,32,1509,16,0.84,0.9130434782608696,0.8749999999999999,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,54,12,273,67,0.8181818181818182,0.4462809917355372,0.5775401069518717,67,2,276,61,0.9710144927536232,0.5234375,0.6802030456852792,0,0,365,41,0,0,0,0,0,342,64,0,0,0,56,27,297,26,0.6746987951807228,0.6829268292682927,0.6787878787878787,0,0,246,43,0,0,0,87,19,151,32,0.8207547169811321,0.7310924369747899,0.7733333333333333,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.01_4e-25,847,128,705,45,0.8687179487179487,0.9495515695067264,0.9073379753615426,45,1,1679,0,0.9782608695652174,1,0.989010989010989,0,0,1623,102,0,0,0,367,64,1230,64,0.851508120649652,0.851508120649652,0.851508120649652,168,32,1509,16,0.84,0.9130434782608696,0.8749999999999999,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,54,12,273,67,0.8181818181818182,0.4462809917355372,0.5775401069518717,67,2,276,61,0.9710144927536232,0.5234375,0.6802030456852792,0,0,365,41,0,0,0,0,0,342,64,0,0,0,56,27,297,26,0.6746987951807228,0.6829268292682927,0.6787878787878787,0,0,246,43,0,0,0,87,19,151,32,0.8207547169811321,0.7310924369747899,0.7733333333333333,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.001_2e-25,835,153,680,57,0.8451417004048583,0.9360986547085202,0.8882978723404256,45,0,1680,0,1,1,1,0,0,1623,102,0,0,0,301,13,1281,130,0.9585987261146496,0.6983758700696056,0.8080536912751678,172,37,1504,12,0.8229665071770335,0.9347826086956522,0.8753180661577609,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,58,15,270,63,0.7945205479452054,0.4793388429752066,0.5979381443298969,58,2,276,70,0.9666666666666668,0.453125,0.6170212765957447,0,0,365,41,0,0,0,0,0,342,64,0,0,0,58,26,298,24,0.6904761904761905,0.7073170731707317,0.6987951807228916,0,0,246,43,0,0,0,81,18,152,38,0.8181818181818182,0.680672268907563,0.743119266055046,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.001_3e-25,835,153,680,57,0.8451417004048583,0.9360986547085202,0.8882978723404256,45,0,1680,0,1,1,1,0,0,1623,102,0,0,0,301,13,1281,130,0.9585987261146496,0.6983758700696056,0.8080536912751678,172,37,1504,12,0.8229665071770335,0.9347826086956522,0.8753180661577609,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,58,15,270,63,0.7945205479452054,0.4793388429752066,0.5979381443298969,58,2,276,70,0.9666666666666668,0.453125,0.6170212765957447,0,0,365,41,0,0,0,0,0,342,64,0,0,0,58,26,298,24,0.6904761904761905,0.7073170731707317,0.6987951807228916,0,0,246,43,0,0,0,81,18,152,38,0.8181818181818182,0.680672268907563,0.743119266055046,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.001_4e-25,835,153,680,57,0.8451417004048583,0.9360986547085202,0.8882978723404256,45,0,1680,0,1,1,1,0,0,1623,102,0,0,0,301,13,1281,130,0.9585987261146496,0.6983758700696056,0.8080536912751678,172,37,1504,12,0.8229665071770335,0.9347826086956522,0.8753180661577609,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,58,15,270,63,0.7945205479452054,0.4793388429752066,0.5979381443298969,58,2,276,70,0.9666666666666668,0.453125,0.6170212765957447,0,0,365,41,0,0,0,0,0,342,64,0,0,0,58,26,298,24,0.6904761904761905,0.7073170731707317,0.6987951807228916,0,0,246,43,0,0,0,81,18,152,38,0.8181818181818182,0.680672268907563,0.743119266055046,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.0001_2e-25,838,163,670,54,0.8371628371628371,0.9394618834080718,0.8853671421024829,45,0,1680,0,1,1,1,0,0,1623,102,0,0,0,308,13,1281,123,0.9595015576323987,0.7146171693735499,0.8191489361702128,171,38,1503,13,0.8181818181818182,0.9293478260869564,0.8702290076335878,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,56,15,270,65,0.7887323943661971,0.4628099173553719,0.5833333333333333,61,2,276,67,0.9682539682539684,0.4765625,0.6387434554973821,0,0,365,41,0,0,0,0,0,342,64,0,0,0,62,31,293,20,0.6666666666666666,0.7560975609756098,0.7085714285714285,0,0,246,43,0,0,0,80,18,152,39,0.8163265306122449,0.6722689075630253,0.7373271889400922,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.0001_3e-25,838,163,670,54,0.8371628371628371,0.9394618834080718,0.8853671421024829,45,0,1680,0,1,1,1,0,0,1623,102,0,0,0,308,13,1281,123,0.9595015576323987,0.7146171693735499,0.8191489361702128,171,38,1503,13,0.8181818181818182,0.9293478260869564,0.8702290076335878,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,56,15,270,65,0.7887323943661971,0.4628099173553719,0.5833333333333333,61,2,276,67,0.9682539682539684,0.4765625,0.6387434554973821,0,0,365,41,0,0,0,0,0,342,64,0,0,0,62,31,293,20,0.6666666666666666,0.7560975609756098,0.7085714285714285,0,0,246,43,0,0,0,80,18,152,39,0.8163265306122449,0.6722689075630253,0.7373271889400922,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0_3e-05_no_0.0001_4e-25,838,163,670,54,0.8371628371628371,0.9394618834080718,0.8853671421024829,45,0,1680,0,1,1,1,0,0,1623,102,0,0,0,308,13,1281,123,0.9595015576323987,0.7146171693735499,0.8191489361702128,171,38,1503,13,0.8181818181818182,0.9293478260869564,0.8702290076335878,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,56,15,270,65,0.7887323943661971,0.4628099173553719,0.5833333333333333,61,2,276,67,0.9682539682539684,0.4765625,0.6387434554973821,0,0,365,41,0,0,0,0,0,342,64,0,0,0,62,31,293,20,0.6666666666666666,0.7560975609756098,0.7085714285714285,0,0,246,43,0,0,0,80,18,152,39,0.8163265306122449,0.6722689075630253,0.7373271889400922,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
23296_microsoft/codebert-base_16_1_0.01_3e-05_no_0.01_2e-25,843,135,698,49,0.8619631901840491,0.945067264573991,0.9016042780748664,45,1,1679,0,0.9782608695652174,1,0.989010989010989,0,0,1623,102,0,0,0,367,60,1234,64,0.8594847775175644,0.851508120649652,0.8554778554778556,168,36,1505,16,0.8235294117647058,0.9130434782608696,0.865979381443299,0,0,1710,15,0,0,0,0,0,1657,68,0,0,0,58,13,272,63,0.8169014084507042,0.4793388429752066,0.6041666666666667,66,3,275,62,0.9565217391304348,0.515625,0.6700507614213198,0,0,365,41,0,0,0,0,0,342,64,0,0,0,60,29,295,22,0.6741573033707865,0.7317073170731707,0.7017543859649121,0,0,246,43,0,0,0,87,19,151,32,0.8207547169811321,0.7310924369747899,0.7733333333333333,0,0,237,52,0,0,0,0,0,285,4,0,0,0,10,0,259,20,1,0.3333333333333333,0.5,0,0,246,43,0,0,0,0,0,279,10,0,0,0
