info,eval_java_loss,eval_java_class_summary_true_positives,eval_java_class_summary_false_positives,eval_java_class_summary_true_negatives,eval_java_class_summary_false_negatives,eval_java_class_summary_precision,eval_java_class_summary_recall,eval_java_class_summary_f1,eval_java_class_Ownership_true_positives,eval_java_class_Ownership_false_positives,eval_java_class_Ownership_true_negatives,eval_java_class_Ownership_false_negatives,eval_java_class_Ownership_precision,eval_java_class_Ownership_recall,eval_java_class_Ownership_f1,eval_java_class_Expand_true_positives,eval_java_class_Expand_false_positives,eval_java_class_Expand_true_negatives,eval_java_class_Expand_false_negatives,eval_java_class_Expand_precision,eval_java_class_Expand_recall,eval_java_class_Expand_f1,eval_java_class_usage_true_positives,eval_java_class_usage_false_positives,eval_java_class_usage_true_negatives,eval_java_class_usage_false_negatives,eval_java_class_usage_precision,eval_java_class_usage_recall,eval_java_class_usage_f1,eval_java_class_Pointer_true_positives,eval_java_class_Pointer_false_positives,eval_java_class_Pointer_true_negatives,eval_java_class_Pointer_false_negatives,eval_java_class_Pointer_precision,eval_java_class_Pointer_recall,eval_java_class_Pointer_f1,eval_java_class_deprecation_true_positives,eval_java_class_deprecation_false_positives,eval_java_class_deprecation_true_negatives,eval_java_class_deprecation_false_negatives,eval_java_class_deprecation_precision,eval_java_class_deprecation_recall,eval_java_class_deprecation_f1,eval_java_class_rational_true_positives,eval_java_class_rational_false_positives,eval_java_class_rational_true_negatives,eval_java_class_rational_false_negatives,eval_java_class_rational_precision,eval_java_class_rational_recall,eval_java_class_rational_f1,eval_java_runtime,eval_java_samples_per_second,eval_java_steps_per_second,epoch_java,eval_python_loss,eval_python_class_Usage_true_positives,eval_python_class_Usage_false_positives,eval_python_class_Usage_true_negatives,eval_python_class_Usage_false_negatives,eval_python_class_Usage_precision,eval_python_class_Usage_recall,eval_python_class_Usage_f1,eval_python_class_Parameters_true_positives,eval_python_class_Parameters_false_positives,eval_python_class_Parameters_true_negatives,eval_python_class_Parameters_false_negatives,eval_python_class_Parameters_precision,eval_python_class_Parameters_recall,eval_python_class_Parameters_f1,eval_python_class_DevelopmentNotes_true_positives,eval_python_class_DevelopmentNotes_false_positives,eval_python_class_DevelopmentNotes_true_negatives,eval_python_class_DevelopmentNotes_false_negatives,eval_python_class_DevelopmentNotes_precision,eval_python_class_DevelopmentNotes_recall,eval_python_class_DevelopmentNotes_f1,eval_python_class_Expand_true_positives,eval_python_class_Expand_false_positives,eval_python_class_Expand_true_negatives,eval_python_class_Expand_false_negatives,eval_python_class_Expand_precision,eval_python_class_Expand_recall,eval_python_class_Expand_f1,eval_python_class_Summary_true_positives,eval_python_class_Summary_false_positives,eval_python_class_Summary_true_negatives,eval_python_class_Summary_false_negatives,eval_python_class_Summary_precision,eval_python_class_Summary_recall,eval_python_class_Summary_f1,eval_python_runtime,eval_python_samples_per_second,eval_python_steps_per_second,epoch_python,eval_pharo_loss,eval_pharo_class_Keyimplementationpoints_true_positives,eval_pharo_class_Keyimplementationpoints_false_positives,eval_pharo_class_Keyimplementationpoints_true_negatives,eval_pharo_class_Keyimplementationpoints_false_negatives,eval_pharo_class_Keyimplementationpoints_precision,eval_pharo_class_Keyimplementationpoints_recall,eval_pharo_class_Keyimplementationpoints_f1,eval_pharo_class_Example_true_positives,eval_pharo_class_Example_false_positives,eval_pharo_class_Example_true_negatives,eval_pharo_class_Example_false_negatives,eval_pharo_class_Example_precision,eval_pharo_class_Example_recall,eval_pharo_class_Example_f1,eval_pharo_class_Responsibilities_true_positives,eval_pharo_class_Responsibilities_false_positives,eval_pharo_class_Responsibilities_true_negatives,eval_pharo_class_Responsibilities_false_negatives,eval_pharo_class_Responsibilities_precision,eval_pharo_class_Responsibilities_recall,eval_pharo_class_Responsibilities_f1,eval_pharo_class_Classreferences_true_positives,eval_pharo_class_Classreferences_false_positives,eval_pharo_class_Classreferences_true_negatives,eval_pharo_class_Classreferences_false_negatives,eval_pharo_class_Classreferences_precision,eval_pharo_class_Classreferences_recall,eval_pharo_class_Classreferences_f1,eval_pharo_class_Intent_true_positives,eval_pharo_class_Intent_false_positives,eval_pharo_class_Intent_true_negatives,eval_pharo_class_Intent_false_negatives,eval_pharo_class_Intent_precision,eval_pharo_class_Intent_recall,eval_pharo_class_Intent_f1,eval_pharo_class_Keymessages_true_positives,eval_pharo_class_Keymessages_false_positives,eval_pharo_class_Keymessages_true_negatives,eval_pharo_class_Keymessages_false_negatives,eval_pharo_class_Keymessages_precision,eval_pharo_class_Keymessages_recall,eval_pharo_class_Keymessages_f1,eval_pharo_class_Collaborators_true_positives,eval_pharo_class_Collaborators_false_positives,eval_pharo_class_Collaborators_true_negatives,eval_pharo_class_Collaborators_false_negatives,eval_pharo_class_Collaborators_precision,eval_pharo_class_Collaborators_recall,eval_pharo_class_Collaborators_f1,eval_pharo_runtime,eval_pharo_samples_per_second,eval_pharo_steps_per_second,epoch_pharo
23520_microsoft/unixcoder-base_1_1_0_3e-05_no,1.2455603768544183,864.0,153.0,680.0,28.0,0.8495575221238938,0.968609865470852,0.9051859612362492,45.0,1.0,1679.0,0.0,0.9782608695652174,1.0,0.989010989010989,21.0,26.0,1597.0,81.0,0.4468085106382978,0.2058823529411764,0.2818791946308724,330.0,22.0,1272.0,101.0,0.9375,0.765661252900232,0.842911877394636,173.0,65.0,1476.0,11.0,0.726890756302521,0.9402173913043478,0.8199052132701421,8.0,6.0,1704.0,7.0,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,17.9241,96.239,96.239,1.0,10.78667259383448,74.0,30.0,255.0,47.0,0.7115384615384616,0.6115702479338843,0.6577777777777778,90.0,22.0,256.0,38.0,0.8035714285714286,0.703125,0.75,4.0,4.0,361.0,37.0,0.5,0.0975609756097561,0.163265306122449,22.0,21.0,321.0,42.0,0.5116279069767442,0.34375,0.411214953271028,60.0,46.0,278.0,22.0,0.5660377358490566,0.7317073170731707,0.6382978723404255,3.4518,117.619,117.619,1.0,3.504216610827144,7.0,7.0,239.0,36.0,0.5,0.1627906976744186,0.2456140350877192,98.0,27.0,143.0,21.0,0.784,0.8235294117647058,0.8032786885245901,34.0,39.0,198.0,18.0,0.4657534246575342,0.6538461538461539,0.544,0.0,0.0,285.0,4.0,0.0,0.0,0.0,24.0,4.0,255.0,6.0,0.8571428571428571,0.8,0.8275862068965518,13.0,4.0,242.0,30.0,0.7647058823529411,0.3023255813953488,0.4333333333333333,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.4915,115.996,115.996,1.0
23520_microsoft/unixcoder-base_1_1_0.01_3e-05_no,1.1943401376474652,851.0,134.0,699.0,41.0,0.8639593908629442,0.954035874439462,0.906766116142781,45.0,1.0,1679.0,0.0,0.9782608695652174,1.0,0.989010989010989,37.0,64.0,1559.0,65.0,0.3663366336633663,0.3627450980392157,0.3645320197044335,349.0,31.0,1263.0,82.0,0.9184210526315788,0.8097447795823666,0.8606658446362516,166.0,43.0,1498.0,18.0,0.7942583732057417,0.9021739130434784,0.8447837150127226,3.0,0.0,1710.0,12.0,1.0,0.2,0.3333333333333333,0.0,1.0,1656.0,68.0,0.0,0.0,0.0,17.1927,100.333,100.333,1.0,10.852238870538068,73.0,31.0,254.0,48.0,0.7019230769230769,0.6033057851239669,0.6488888888888888,90.0,23.0,255.0,38.0,0.7964601769911505,0.703125,0.7468879668049793,4.0,3.0,362.0,37.0,0.5714285714285714,0.0975609756097561,0.1666666666666666,21.0,20.0,322.0,43.0,0.5121951219512195,0.328125,0.3999999999999999,62.0,48.0,276.0,20.0,0.5636363636363636,0.7560975609756098,0.6458333333333333,3.4968,116.105,116.105,1.0,3.5269622357366663,7.0,7.0,239.0,36.0,0.5,0.1627906976744186,0.2456140350877192,98.0,27.0,143.0,21.0,0.784,0.8235294117647058,0.8032786885245901,34.0,38.0,199.0,18.0,0.4722222222222222,0.6538461538461539,0.5483870967741936,0.0,0.0,285.0,4.0,0.0,0.0,0.0,24.0,4.0,255.0,6.0,0.8571428571428571,0.8,0.8275862068965518,13.0,5.0,241.0,30.0,0.7222222222222222,0.3023255813953488,0.4262295081967213,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.5113,115.08,115.08,1.0
23520_microsoft/unixcoder-base_1_1_0.001_3e-05_no,1.311045579299838,858.0,147.0,686.0,34.0,0.8537313432835821,0.9618834080717488,0.90458618871903,45.0,1.0,1679.0,0.0,0.9782608695652174,1.0,0.989010989010989,32.0,65.0,1558.0,70.0,0.3298969072164948,0.3137254901960784,0.321608040201005,314.0,19.0,1275.0,117.0,0.9429429429429428,0.728538283062645,0.8219895287958116,167.0,59.0,1482.0,17.0,0.7389380530973452,0.907608695652174,0.8146341463414635,8.0,8.0,1702.0,7.0,0.5,0.5333333333333333,0.5161290322580646,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,17.2303,100.114,100.114,1.0,10.9817929506203,74.0,31.0,254.0,47.0,0.7047619047619048,0.6115702479338843,0.6548672566371682,91.0,25.0,253.0,37.0,0.7844827586206896,0.7109375,0.7459016393442625,4.0,4.0,361.0,37.0,0.5,0.0975609756097561,0.163265306122449,22.0,19.0,323.0,42.0,0.5365853658536586,0.34375,0.419047619047619,60.0,49.0,275.0,22.0,0.5504587155963303,0.7317073170731707,0.6282722513089005,3.5263,115.135,115.135,1.0,3.505622095560345,7.0,7.0,239.0,36.0,0.5,0.1627906976744186,0.2456140350877192,98.0,27.0,143.0,21.0,0.784,0.8235294117647058,0.8032786885245901,34.0,39.0,198.0,18.0,0.4657534246575342,0.6538461538461539,0.544,0.0,0.0,285.0,4.0,0.0,0.0,0.0,24.0,4.0,255.0,6.0,0.8571428571428571,0.8,0.8275862068965518,13.0,4.0,242.0,30.0,0.7647058823529411,0.3023255813953488,0.4333333333333333,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.5002,115.591,115.591,1.0
23520_microsoft/unixcoder-base_2_1_0_3e-05_no,1.1297400518701153,851.0,139.0,694.0,41.0,0.8595959595959596,0.954035874439462,0.9043570669500532,45.0,1.0,1679.0,0.0,0.9782608695652174,1.0,0.989010989010989,38.0,69.0,1554.0,64.0,0.3551401869158878,0.3725490196078431,0.3636363636363636,302.0,14.0,1280.0,129.0,0.9556962025316456,0.7006960556844548,0.8085676037483267,170.0,52.0,1489.0,14.0,0.7657657657657657,0.9239130434782608,0.8374384236453201,7.0,5.0,1705.0,8.0,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,12.8755,133.976,67.027,1.0,8.297079883692563,68.0,30.0,255.0,53.0,0.6938775510204082,0.5619834710743802,0.6210045662100456,88.0,21.0,257.0,40.0,0.8073394495412844,0.6875,0.7426160337552743,6.0,13.0,352.0,35.0,0.3157894736842105,0.1463414634146341,0.1999999999999999,11.0,13.0,329.0,53.0,0.4583333333333333,0.171875,0.25,57.0,33.0,291.0,25.0,0.6333333333333333,0.6951219512195121,0.6627906976744186,1.8302,221.828,110.914,1.0,3.022792533931317,9.0,10.0,236.0,34.0,0.4736842105263157,0.2093023255813953,0.2903225806451613,108.0,45.0,125.0,11.0,0.7058823529411765,0.907563025210084,0.7941176470588236,8.0,19.0,218.0,44.0,0.2962962962962963,0.1538461538461538,0.2025316455696202,0.0,0.0,285.0,4.0,0.0,0.0,0.0,22.0,9.0,250.0,8.0,0.7096774193548387,0.7333333333333333,0.7213114754098361,3.0,0.0,246.0,40.0,1.0,0.0697674418604651,0.1304347826086956,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2879,224.401,112.589,1.0
23520_microsoft/unixcoder-base_2_1_0.01_3e-05_no,1.1082083585550178,851.0,139.0,694.0,41.0,0.8595959595959596,0.954035874439462,0.9043570669500532,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,34.0,59.0,1564.0,68.0,0.3655913978494624,0.3333333333333333,0.3487179487179487,316.0,13.0,1281.0,115.0,0.96048632218845,0.7331786542923434,0.8315789473684212,169.0,67.0,1474.0,15.0,0.7161016949152542,0.9184782608695652,0.8047619047619048,8.0,5.0,1705.0,7.0,0.6153846153846154,0.5333333333333333,0.5714285714285715,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,12.8824,133.903,66.99,1.0,8.296410452216612,68.0,30.0,255.0,53.0,0.6938775510204082,0.5619834710743802,0.6210045662100456,88.0,21.0,257.0,40.0,0.8073394495412844,0.6875,0.7426160337552743,6.0,13.0,352.0,35.0,0.3157894736842105,0.1463414634146341,0.1999999999999999,11.0,13.0,329.0,53.0,0.4583333333333333,0.171875,0.25,57.0,33.0,291.0,25.0,0.6333333333333333,0.6951219512195121,0.6627906976744186,1.8421,220.399,110.2,1.0,2.9846956303517,2.0,7.0,239.0,41.0,0.2222222222222222,0.0465116279069767,0.0769230769230769,105.0,31.0,139.0,14.0,0.7720588235294118,0.8823529411764706,0.823529411764706,12.0,28.0,209.0,40.0,0.3,0.2307692307692307,0.2608695652173913,0.0,0.0,285.0,4.0,0.0,0.0,0.0,21.0,5.0,254.0,9.0,0.8076923076923077,0.7,0.75,13.0,4.0,242.0,30.0,0.7647058823529411,0.3023255813953488,0.4333333333333333,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.3334,216.744,108.747,1.0
23520_microsoft/unixcoder-base_2_1_0.001_3e-05_no,1.0826792895527613,836.0,122.0,711.0,56.0,0.872651356993737,0.937219730941704,0.903783783783784,45.0,1.0,1679.0,0.0,0.9782608695652174,1.0,0.989010989010989,48.0,101.0,1522.0,54.0,0.3221476510067114,0.4705882352941176,0.3824701195219123,286.0,15.0,1279.0,145.0,0.9501661129568106,0.6635730858468677,0.7814207650273224,169.0,56.0,1485.0,15.0,0.7511111111111111,0.9184782608695652,0.8264058679706601,8.0,5.0,1705.0,7.0,0.6153846153846154,0.5333333333333333,0.5714285714285715,0.0,0.0,1657.0,68.0,0.0,0.0,0.0,12.883,133.897,66.988,1.0,8.297074097185448,68.0,30.0,255.0,53.0,0.6938775510204082,0.5619834710743802,0.6210045662100456,88.0,21.0,257.0,40.0,0.8073394495412844,0.6875,0.7426160337552743,6.0,13.0,352.0,35.0,0.3157894736842105,0.1463414634146341,0.1999999999999999,11.0,13.0,329.0,53.0,0.4583333333333333,0.171875,0.25,57.0,33.0,291.0,25.0,0.6333333333333333,0.6951219512195121,0.6627906976744186,1.8756,216.46,108.23,1.0,2.8882569317502527,10.0,11.0,235.0,33.0,0.4761904761904761,0.2325581395348837,0.3125,111.0,31.0,139.0,8.0,0.7816901408450704,0.9327731092436976,0.8505747126436782,14.0,22.0,215.0,38.0,0.3888888888888889,0.2692307692307692,0.3181818181818182,0.0,0.0,285.0,4.0,0.0,0.0,0.0,23.0,4.0,255.0,7.0,0.8518518518518519,0.7666666666666667,0.8070175438596491,16.0,2.0,244.0,27.0,0.8888888888888888,0.3720930232558139,0.5245901639344261,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2916,223.751,112.262,1.0
23520_microsoft/unixcoder-base_4_1_0_3e-05_no,1.0987218764128508,833.0,149.0,684.0,59.0,0.8482688391038696,0.9338565022421524,0.8890074706510139,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,14.0,37.0,1586.0,88.0,0.2745098039215686,0.1372549019607843,0.1830065359477124,325.0,30.0,1264.0,106.0,0.9154929577464788,0.7540603248259861,0.8269720101781171,168.0,49.0,1492.0,16.0,0.7741935483870968,0.9130434782608696,0.8379052369077308,9.0,11.0,1699.0,6.0,0.45,0.6,0.5142857142857143,0.0,2.0,1655.0,68.0,0.0,0.0,0.0,11.1049,155.336,38.902,1.0,8.079220423346458,63.0,17.0,268.0,58.0,0.7875,0.5206611570247934,0.6268656716417911,82.0,25.0,253.0,46.0,0.7663551401869159,0.640625,0.6978723404255319,5.0,15.0,350.0,36.0,0.25,0.1219512195121951,0.1639344262295081,9.0,8.0,334.0,55.0,0.5294117647058824,0.140625,0.2222222222222222,42.0,29.0,295.0,40.0,0.5915492957746479,0.5121951219512195,0.5490196078431372,0.9304,436.355,109.626,1.0,3.00858690933971,16.0,18.0,228.0,27.0,0.4705882352941176,0.3720930232558139,0.4155844155844156,100.0,39.0,131.0,19.0,0.7194244604316546,0.8403361344537815,0.7751937984496123,0.0,13.0,224.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,16.0,1.0,258.0,14.0,0.9411764705882352,0.5333333333333333,0.6808510638297872,4.0,0.0,246.0,39.0,1.0,0.0930232558139534,0.1702127659574468,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.6506,444.176,112.197,1.0
23520_microsoft/unixcoder-base_4_1_0.01_3e-05_no,0.9916072943179296,839.0,149.0,684.0,53.0,0.8491902834008097,0.9405829596412556,0.8925531914893616,45.0,1.0,1679.0,0.0,0.9782608695652174,1.0,0.989010989010989,23.0,28.0,1595.0,79.0,0.4509803921568627,0.2254901960784313,0.3006535947712418,328.0,28.0,1266.0,103.0,0.9213483146067416,0.7610208816705336,0.8335451080050824,167.0,54.0,1487.0,17.0,0.755656108597285,0.907608695652174,0.8246913580246915,8.0,6.0,1704.0,7.0,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.0,3.0,1654.0,68.0,0.0,0.0,0.0,11.1108,155.254,38.881,1.0,7.93408964546071,65.0,18.0,267.0,56.0,0.7831325301204819,0.5371900826446281,0.6372549019607843,85.0,26.0,252.0,43.0,0.7657657657657657,0.6640625,0.7112970711297071,5.0,14.0,351.0,36.0,0.2631578947368421,0.1219512195121951,0.1666666666666666,9.0,10.0,332.0,55.0,0.4736842105263157,0.140625,0.216867469879518,48.0,30.0,294.0,34.0,0.6153846153846154,0.5853658536585366,0.6,0.9204,441.114,110.822,1.0,3.0041193117169103,14.0,18.0,228.0,29.0,0.4375,0.3255813953488372,0.3733333333333333,101.0,39.0,131.0,18.0,0.7214285714285714,0.8487394957983193,0.7799227799227799,0.0,12.0,225.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,17.0,1.0,258.0,13.0,0.9444444444444444,0.5666666666666667,0.7083333333333334,4.0,0.0,246.0,39.0,1.0,0.0930232558139534,0.1702127659574468,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.6486,445.574,112.55,1.0
23520_microsoft/unixcoder-base_4_1_0.001_3e-05_no,1.0645732571066209,842.0,143.0,690.0,50.0,0.8548223350253807,0.9439461883408072,0.8971763452317528,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,21.0,38.0,1585.0,81.0,0.3559322033898305,0.2058823529411764,0.2608695652173913,331.0,22.0,1272.0,100.0,0.9376770538243626,0.7679814385150812,0.8443877551020409,170.0,49.0,1492.0,14.0,0.776255707762557,0.9239130434782608,0.8436724565756824,8.0,10.0,1700.0,7.0,0.4444444444444444,0.5333333333333333,0.4848484848484848,0.0,2.0,1655.0,68.0,0.0,0.0,0.0,11.0985,155.426,38.924,1.0,7.907686108105849,65.0,18.0,267.0,56.0,0.7831325301204819,0.5371900826446281,0.6372549019607843,84.0,26.0,252.0,44.0,0.7636363636363637,0.65625,0.7058823529411765,5.0,15.0,350.0,36.0,0.25,0.1219512195121951,0.1639344262295081,9.0,10.0,332.0,55.0,0.4736842105263157,0.140625,0.216867469879518,48.0,30.0,294.0,34.0,0.6153846153846154,0.5853658536585366,0.6,0.9094,446.451,112.162,1.0,3.002955638036555,16.0,18.0,228.0,27.0,0.4705882352941176,0.3720930232558139,0.4155844155844156,100.0,39.0,131.0,19.0,0.7194244604316546,0.8403361344537815,0.7751937984496123,0.0,13.0,224.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,18.0,1.0,258.0,12.0,0.9473684210526316,0.6,0.7346938775510204,4.0,0.0,246.0,39.0,1.0,0.0930232558139534,0.1702127659574468,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.6486,445.566,112.548,1.0
23520_microsoft/unixcoder-base_8_1_0_3e-05_no,0.9181373949450724,831.0,141.0,692.0,61.0,0.8549382716049383,0.9316143497757848,0.8916309012875537,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,6.0,7.0,1616.0,96.0,0.4615384615384615,0.0588235294117647,0.1043478260869565,313.0,27.0,1267.0,118.0,0.9205882352941176,0.7262180974477959,0.8119325551232166,169.0,50.0,1491.0,15.0,0.771689497716895,0.9184782608695652,0.8387096774193549,9.0,7.0,1703.0,6.0,0.5625,0.6,0.5806451612903225,1.0,5.0,1652.0,67.0,0.1666666666666666,0.0147058823529411,0.027027027027027,10.0295,171.993,21.536,1.0,8.197602011803212,60.0,14.0,271.0,61.0,0.8108108108108109,0.4958677685950413,0.6153846153846154,72.0,20.0,258.0,56.0,0.782608695652174,0.5625,0.6545454545454547,3.0,6.0,359.0,38.0,0.3333333333333333,0.073170731707317,0.12,7.0,3.0,339.0,57.0,0.7,0.109375,0.1891891891891891,40.0,18.0,306.0,42.0,0.6896551724137931,0.4878048780487805,0.5714285714285714,0.4658,871.688,109.498,1.0,3.248744497072461,8.0,15.0,231.0,35.0,0.3478260869565217,0.1860465116279069,0.2424242424242424,95.0,43.0,127.0,24.0,0.6884057971014492,0.7983193277310925,0.7392996108949416,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,3.0,0.0,259.0,27.0,1.0,0.1,0.1818181818181818,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.349,828.087,106.018,1.0
