info,eval_java_loss,eval_java_class_summary_true_positives,eval_java_class_summary_false_positives,eval_java_class_summary_true_negatives,eval_java_class_summary_false_negatives,eval_java_class_summary_precision,eval_java_class_summary_recall,eval_java_class_summary_f1,eval_java_class_Ownership_true_positives,eval_java_class_Ownership_false_positives,eval_java_class_Ownership_true_negatives,eval_java_class_Ownership_false_negatives,eval_java_class_Ownership_precision,eval_java_class_Ownership_recall,eval_java_class_Ownership_f1,eval_java_class_Expand_true_positives,eval_java_class_Expand_false_positives,eval_java_class_Expand_true_negatives,eval_java_class_Expand_false_negatives,eval_java_class_Expand_precision,eval_java_class_Expand_recall,eval_java_class_Expand_f1,eval_java_class_usage_true_positives,eval_java_class_usage_false_positives,eval_java_class_usage_true_negatives,eval_java_class_usage_false_negatives,eval_java_class_usage_precision,eval_java_class_usage_recall,eval_java_class_usage_f1,eval_java_class_Pointer_true_positives,eval_java_class_Pointer_false_positives,eval_java_class_Pointer_true_negatives,eval_java_class_Pointer_false_negatives,eval_java_class_Pointer_precision,eval_java_class_Pointer_recall,eval_java_class_Pointer_f1,eval_java_class_deprecation_true_positives,eval_java_class_deprecation_false_positives,eval_java_class_deprecation_true_negatives,eval_java_class_deprecation_false_negatives,eval_java_class_deprecation_precision,eval_java_class_deprecation_recall,eval_java_class_deprecation_f1,eval_java_class_rational_true_positives,eval_java_class_rational_false_positives,eval_java_class_rational_true_negatives,eval_java_class_rational_false_negatives,eval_java_class_rational_precision,eval_java_class_rational_recall,eval_java_class_rational_f1,eval_java_runtime,eval_java_samples_per_second,eval_java_steps_per_second,epoch_java,eval_python_loss,eval_python_class_Usage_true_positives,eval_python_class_Usage_false_positives,eval_python_class_Usage_true_negatives,eval_python_class_Usage_false_negatives,eval_python_class_Usage_precision,eval_python_class_Usage_recall,eval_python_class_Usage_f1,eval_python_class_Parameters_true_positives,eval_python_class_Parameters_false_positives,eval_python_class_Parameters_true_negatives,eval_python_class_Parameters_false_negatives,eval_python_class_Parameters_precision,eval_python_class_Parameters_recall,eval_python_class_Parameters_f1,eval_python_class_DevelopmentNotes_true_positives,eval_python_class_DevelopmentNotes_false_positives,eval_python_class_DevelopmentNotes_true_negatives,eval_python_class_DevelopmentNotes_false_negatives,eval_python_class_DevelopmentNotes_precision,eval_python_class_DevelopmentNotes_recall,eval_python_class_DevelopmentNotes_f1,eval_python_class_Expand_true_positives,eval_python_class_Expand_false_positives,eval_python_class_Expand_true_negatives,eval_python_class_Expand_false_negatives,eval_python_class_Expand_precision,eval_python_class_Expand_recall,eval_python_class_Expand_f1,eval_python_class_Summary_true_positives,eval_python_class_Summary_false_positives,eval_python_class_Summary_true_negatives,eval_python_class_Summary_false_negatives,eval_python_class_Summary_precision,eval_python_class_Summary_recall,eval_python_class_Summary_f1,eval_python_runtime,eval_python_samples_per_second,eval_python_steps_per_second,epoch_python,eval_pharo_loss,eval_pharo_class_Keyimplementationpoints_true_positives,eval_pharo_class_Keyimplementationpoints_false_positives,eval_pharo_class_Keyimplementationpoints_true_negatives,eval_pharo_class_Keyimplementationpoints_false_negatives,eval_pharo_class_Keyimplementationpoints_precision,eval_pharo_class_Keyimplementationpoints_recall,eval_pharo_class_Keyimplementationpoints_f1,eval_pharo_class_Example_true_positives,eval_pharo_class_Example_false_positives,eval_pharo_class_Example_true_negatives,eval_pharo_class_Example_false_negatives,eval_pharo_class_Example_precision,eval_pharo_class_Example_recall,eval_pharo_class_Example_f1,eval_pharo_class_Responsibilities_true_positives,eval_pharo_class_Responsibilities_false_positives,eval_pharo_class_Responsibilities_true_negatives,eval_pharo_class_Responsibilities_false_negatives,eval_pharo_class_Responsibilities_precision,eval_pharo_class_Responsibilities_recall,eval_pharo_class_Responsibilities_f1,eval_pharo_class_Classreferences_true_positives,eval_pharo_class_Classreferences_false_positives,eval_pharo_class_Classreferences_true_negatives,eval_pharo_class_Classreferences_false_negatives,eval_pharo_class_Classreferences_precision,eval_pharo_class_Classreferences_recall,eval_pharo_class_Classreferences_f1,eval_pharo_class_Intent_true_positives,eval_pharo_class_Intent_false_positives,eval_pharo_class_Intent_true_negatives,eval_pharo_class_Intent_false_negatives,eval_pharo_class_Intent_precision,eval_pharo_class_Intent_recall,eval_pharo_class_Intent_f1,eval_pharo_class_Keymessages_true_positives,eval_pharo_class_Keymessages_false_positives,eval_pharo_class_Keymessages_true_negatives,eval_pharo_class_Keymessages_false_negatives,eval_pharo_class_Keymessages_precision,eval_pharo_class_Keymessages_recall,eval_pharo_class_Keymessages_f1,eval_pharo_class_Collaborators_true_positives,eval_pharo_class_Collaborators_false_positives,eval_pharo_class_Collaborators_true_negatives,eval_pharo_class_Collaborators_false_negatives,eval_pharo_class_Collaborators_precision,eval_pharo_class_Collaborators_recall,eval_pharo_class_Collaborators_f1,eval_pharo_runtime,eval_pharo_samples_per_second,eval_pharo_steps_per_second,epoch_pharo
23205_microsoft/codebert-base_1_1_0_3e-05_no,0.0086725640501147,848.0,101.0,732.0,44.0,0.8935721812434141,0.9506726457399104,0.9212384573601304,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,3.0,4.0,1619.0,99.0,0.4285714285714285,0.0294117647058823,0.055045871559633,359.0,22.0,1272.0,72.0,0.9422572178477692,0.8329466357308585,0.8842364532019704,171.0,25.0,1516.0,13.0,0.8724489795918368,0.9293478260869564,0.8999999999999999,9.0,2.0,1708.0,6.0,0.8181818181818182,0.6,0.6923076923076923,3.0,10.0,1647.0,65.0,0.2307692307692307,0.0441176470588235,0.074074074074074,17.0793,100.999,100.999,1.0,0.0646937357454464,69.0,17.0,268.0,52.0,0.8023255813953488,0.5702479338842975,0.6666666666666666,87.0,13.0,265.0,41.0,0.87,0.6796875,0.763157894736842,0.0,0.0,365.0,41.0,0.0,0.0,0.0,15.0,16.0,326.0,49.0,0.4838709677419355,0.234375,0.3157894736842105,67.0,30.0,294.0,15.0,0.6907216494845361,0.8170731707317073,0.7486033519553071,3.4109,119.031,119.031,1.0,0.0249320202458565,0.0,0.0,246.0,43.0,0.0,0.0,0.0,97.0,42.0,128.0,22.0,0.697841726618705,0.8151260504201681,0.751937984496124,4.0,1.0,236.0,48.0,0.8,0.0769230769230769,0.1403508771929824,0.0,0.0,285.0,4.0,0.0,0.0,0.0,23.0,2.0,257.0,7.0,0.92,0.7666666666666667,0.8363636363636363,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.4119,119.825,119.825,1.0
23205_microsoft/codebert-base_1_1_0.01_3e-05_no,0.0089874469740181,831.0,121.0,712.0,61.0,0.8728991596638656,0.9316143497757848,0.901301518438178,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,15.0,16.0,1607.0,87.0,0.4838709677419355,0.1470588235294117,0.2255639097744361,350.0,33.0,1261.0,81.0,0.9138381201044388,0.8120649651972158,0.8599508599508601,171.0,47.0,1494.0,13.0,0.7844036697247706,0.9293478260869564,0.8507462686567164,9.0,3.0,1707.0,6.0,0.75,0.6,0.6666666666666665,5.0,14.0,1643.0,63.0,0.2631578947368421,0.0735294117647058,0.1149425287356321,17.0421,101.22,101.22,1.0,0.0669235725109213,71.0,20.0,265.0,50.0,0.7802197802197802,0.5867768595041323,0.669811320754717,91.0,14.0,264.0,37.0,0.8666666666666667,0.7109375,0.7811158798283262,0.0,0.0,365.0,41.0,0.0,0.0,0.0,16.0,15.0,327.0,48.0,0.5161290322580645,0.25,0.3368421052631579,63.0,39.0,285.0,19.0,0.6176470588235294,0.7682926829268293,0.6847826086956522,3.4229,118.614,118.614,1.0,0.0249287948410805,0.0,0.0,246.0,43.0,0.0,0.0,0.0,97.0,42.0,128.0,22.0,0.697841726618705,0.8151260504201681,0.751937984496124,2.0,1.0,236.0,50.0,0.6666666666666666,0.0384615384615384,0.0727272727272727,0.0,0.0,285.0,4.0,0.0,0.0,0.0,23.0,2.0,257.0,7.0,0.92,0.7666666666666667,0.8363636363636363,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.4389,118.496,118.496,1.0
23205_microsoft/codebert-base_1_1_0.001_3e-05_no,0.0090802301473915,824.0,120.0,713.0,68.0,0.8728813559322034,0.9237668161434978,0.89760348583878,45.0,4.0,1676.0,0.0,0.9183673469387756,1.0,0.9574468085106383,13.0,22.0,1601.0,89.0,0.3714285714285714,0.1274509803921568,0.1897810218978102,358.0,29.0,1265.0,73.0,0.9250645994832042,0.8306264501160093,0.8753056234718827,173.0,40.0,1501.0,11.0,0.812206572769953,0.9402173913043478,0.8715365239294711,9.0,2.0,1708.0,6.0,0.8181818181818182,0.6,0.6923076923076923,8.0,13.0,1644.0,60.0,0.3809523809523809,0.1176470588235294,0.1797752808988763,17.0053,101.439,101.439,1.0,0.065407138960702,70.0,20.0,265.0,51.0,0.7777777777777778,0.5785123966942148,0.6635071090047393,83.0,16.0,262.0,45.0,0.8383838383838383,0.6484375,0.7312775330396477,0.0,0.0,365.0,41.0,0.0,0.0,0.0,18.0,12.0,330.0,46.0,0.6,0.28125,0.3829787234042553,66.0,26.0,298.0,16.0,0.717391304347826,0.8048780487804879,0.7586206896551724,3.4405,118.006,118.006,1.0,0.0249818866918849,0.0,0.0,246.0,43.0,0.0,0.0,0.0,98.0,42.0,128.0,21.0,0.7,0.8235294117647058,0.7567567567567567,2.0,1.0,236.0,50.0,0.6666666666666666,0.0384615384615384,0.0727272727272727,0.0,0.0,285.0,4.0,0.0,0.0,0.0,23.0,3.0,256.0,7.0,0.8846153846153846,0.7666666666666667,0.8214285714285715,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,2.4291,118.973,118.973,1.0
23205_microsoft/codebert-base_2_1_0_3e-05_no,0.0092428339542885,815.0,107.0,726.0,77.0,0.8839479392624728,0.9136771300448432,0.898566703417861,45.0,3.0,1677.0,0.0,0.9375,1.0,0.967741935483871,0.0,0.0,1623.0,102.0,0.0,0.0,0.0,330.0,21.0,1273.0,101.0,0.9401709401709402,0.765661252900232,0.8439897698209718,169.0,49.0,1492.0,15.0,0.7752293577981652,0.9184782608695652,0.8407960199004976,9.0,4.0,1706.0,6.0,0.6923076923076923,0.6,0.6428571428571429,1.0,9.0,1648.0,67.0,0.1,0.0147058823529411,0.0256410256410256,12.84,134.346,67.212,1.0,0.0671403087439208,65.0,15.0,270.0,56.0,0.8125,0.5371900826446281,0.6467661691542288,90.0,22.0,256.0,38.0,0.8035714285714286,0.703125,0.75,0.0,0.0,365.0,41.0,0.0,0.0,0.0,6.0,2.0,340.0,58.0,0.75,0.09375,0.1666666666666666,65.0,29.0,295.0,17.0,0.6914893617021277,0.7926829268292683,0.7386363636363636,1.8042,225.031,112.515,1.0,0.0284053383221156,0.0,0.0,246.0,43.0,0.0,0.0,0.0,78.0,38.0,132.0,41.0,0.6724137931034483,0.6554621848739496,0.6638297872340425,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,14.0,0.0,259.0,16.0,1.0,0.4666666666666667,0.6363636363636364,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2477,231.618,116.21,1.0
23205_microsoft/codebert-base_2_1_0.01_3e-05_no,0.0092178751359924,835.0,112.0,721.0,57.0,0.8817317845828934,0.9360986547085202,0.9081022294725394,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,9.0,7.0,1616.0,93.0,0.5625,0.088235294117647,0.1525423728813559,342.0,23.0,1271.0,89.0,0.936986301369863,0.7935034802784223,0.8592964824120604,171.0,35.0,1506.0,13.0,0.8300970873786407,0.9293478260869564,0.876923076923077,9.0,5.0,1705.0,6.0,0.6428571428571429,0.6,0.6206896551724138,4.0,13.0,1644.0,64.0,0.2352941176470588,0.0588235294117647,0.0941176470588235,12.8131,134.628,67.353,1.0,0.067008718413232,62.0,9.0,276.0,59.0,0.8732394366197183,0.512396694214876,0.6458333333333334,90.0,21.0,257.0,38.0,0.8108108108108109,0.703125,0.7531380753138075,0.0,0.0,365.0,41.0,0.0,0.0,0.0,8.0,3.0,339.0,56.0,0.7272727272727273,0.125,0.2133333333333333,66.0,38.0,286.0,16.0,0.6346153846153846,0.8048780487804879,0.7096774193548387,1.8083,224.525,112.263,1.0,0.0284060583977219,0.0,0.0,246.0,43.0,0.0,0.0,0.0,78.0,38.0,132.0,41.0,0.6724137931034483,0.6554621848739496,0.6638297872340425,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,14.0,0.0,259.0,16.0,1.0,0.4666666666666667,0.6363636363636364,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.248,231.567,116.184,1.0
23205_microsoft/codebert-base_2_1_0.001_3e-05_no,0.0089529381247888,835.0,121.0,712.0,57.0,0.8734309623430963,0.9360986547085202,0.9036796536796536,45.0,3.0,1677.0,0.0,0.9375,1.0,0.967741935483871,19.0,11.0,1612.0,83.0,0.6333333333333333,0.1862745098039215,0.2878787878787879,345.0,15.0,1279.0,86.0,0.9583333333333334,0.8004640371229699,0.8723135271807838,172.0,37.0,1504.0,12.0,0.8229665071770335,0.9347826086956522,0.8753180661577609,10.0,2.0,1708.0,5.0,0.8333333333333334,0.6666666666666666,0.7407407407407408,6.0,16.0,1641.0,62.0,0.2727272727272727,0.088235294117647,0.1333333333333333,12.8132,134.627,67.353,1.0,0.0668446138233974,65.0,11.0,274.0,56.0,0.8552631578947368,0.5371900826446281,0.6598984771573604,88.0,21.0,257.0,40.0,0.8073394495412844,0.6875,0.7426160337552743,0.0,0.0,365.0,41.0,0.0,0.0,0.0,7.0,4.0,338.0,57.0,0.6363636363636364,0.109375,0.1866666666666666,65.0,34.0,290.0,17.0,0.6565656565656566,0.7926829268292683,0.718232044198895,1.7961,226.043,113.022,1.0,0.0284053437091568,0.0,0.0,246.0,43.0,0.0,0.0,0.0,78.0,38.0,132.0,41.0,0.6724137931034483,0.6554621848739496,0.6638297872340425,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,14.0,0.0,259.0,16.0,1.0,0.4666666666666667,0.6363636363636364,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,1.2623,228.94,114.866,1.0
23205_microsoft/codebert-base_4_1_0_3e-05_no,0.0094950416462168,824.0,120.0,713.0,68.0,0.8728813559322034,0.9237668161434978,0.89760348583878,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,0.0,2.0,1621.0,102.0,0.0,0.0,0.0,334.0,30.0,1264.0,97.0,0.9175824175824177,0.7749419953596288,0.840251572327044,171.0,36.0,1505.0,13.0,0.8260869565217391,0.9293478260869564,0.8746803069053708,9.0,4.0,1706.0,6.0,0.6923076923076923,0.6,0.6428571428571429,2.0,12.0,1645.0,66.0,0.1428571428571428,0.0294117647058823,0.048780487804878,11.0342,156.332,39.151,1.0,0.0700089514302502,60.0,21.0,264.0,61.0,0.7407407407407407,0.4958677685950413,0.594059405940594,69.0,13.0,265.0,59.0,0.8414634146341463,0.5390625,0.6571428571428573,0.0,0.0,365.0,41.0,0.0,0.0,0.0,9.0,2.0,340.0,55.0,0.8181818181818182,0.140625,0.24,62.0,29.0,295.0,20.0,0.6813186813186813,0.7560975609756098,0.7167630057803469,0.8949,453.674,113.977,1.0,0.0295079932924922,0.0,0.0,246.0,43.0,0.0,0.0,0.0,49.0,9.0,161.0,70.0,0.8448275862068966,0.4117647058823529,0.5536723163841808,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,10.0,1.0,258.0,20.0,0.9090909090909092,0.3333333333333333,0.4878048780487804,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.636,454.397,114.778,1.0
23205_microsoft/codebert-base_4_1_0.01_3e-05_no,0.0094275463800252,817.0,117.0,716.0,75.0,0.8747323340471093,0.9159192825112108,0.8948521358159913,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,1.0,3.0,1620.0,101.0,0.25,0.0098039215686274,0.0188679245283018,337.0,30.0,1264.0,94.0,0.9182561307901907,0.7819025522041764,0.8446115288220551,172.0,41.0,1500.0,12.0,0.8075117370892019,0.9347826086956522,0.8664987405541562,9.0,4.0,1706.0,6.0,0.6923076923076923,0.6,0.6428571428571429,3.0,12.0,1645.0,65.0,0.2,0.0441176470588235,0.072289156626506,11.0393,156.259,39.133,1.0,0.0689912754207702,60.0,15.0,270.0,61.0,0.8,0.4958677685950413,0.6122448979591837,80.0,19.0,259.0,48.0,0.8080808080808081,0.625,0.7048458149779737,0.0,0.0,365.0,41.0,0.0,0.0,0.0,9.0,5.0,337.0,55.0,0.6428571428571429,0.140625,0.2307692307692307,60.0,29.0,295.0,22.0,0.6741573033707865,0.7317073170731707,0.7017543859649121,0.8945,453.873,114.027,1.0,0.0294534624330814,0.0,0.0,246.0,43.0,0.0,0.0,0.0,52.0,11.0,159.0,67.0,0.8253968253968254,0.4369747899159664,0.5714285714285714,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,11.0,1.0,258.0,19.0,0.9166666666666666,0.3666666666666666,0.5238095238095238,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.6574,439.641,111.051,1.0
23205_microsoft/codebert-base_4_1_0.001_3e-05_no,0.0091949948564099,817.0,114.0,719.0,75.0,0.8775510204081632,0.9159192825112108,0.8963247394404826,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,0.0,0.0,1623.0,102.0,0.0,0.0,0.0,334.0,29.0,1265.0,97.0,0.9201101928374656,0.7749419953596288,0.8413098236775819,170.0,33.0,1508.0,14.0,0.8374384236453202,0.9239130434782608,0.8785529715762274,9.0,4.0,1706.0,6.0,0.6923076923076923,0.6,0.6428571428571429,3.0,11.0,1646.0,65.0,0.2142857142857142,0.0441176470588235,0.073170731707317,11.0375,156.286,39.139,1.0,0.0696366007097542,60.0,20.0,265.0,61.0,0.75,0.4958677685950413,0.5970149253731343,70.0,14.0,264.0,58.0,0.8333333333333334,0.546875,0.660377358490566,0.0,0.0,365.0,41.0,0.0,0.0,0.0,9.0,4.0,338.0,55.0,0.6923076923076923,0.140625,0.2337662337662337,62.0,27.0,297.0,20.0,0.6966292134831461,0.7560975609756098,0.7251461988304092,0.891,455.69,114.484,1.0,0.0295103110162097,0.0,0.0,246.0,43.0,0.0,0.0,0.0,49.0,8.0,162.0,70.0,0.8596491228070176,0.4117647058823529,0.5568181818181818,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,10.0,1.0,258.0,20.0,0.9090909090909092,0.3333333333333333,0.4878048780487804,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.6376,453.279,114.496,1.0
23205_microsoft/codebert-base_8_1_0_3e-05_no,0.009907832506042,792.0,121.0,712.0,100.0,0.8674698795180723,0.8878923766816144,0.8775623268698062,45.0,0.0,1680.0,0.0,1.0,1.0,1.0,0.0,0.0,1623.0,102.0,0.0,0.0,0.0,313.0,33.0,1261.0,118.0,0.9046242774566474,0.7262180974477959,0.8056628056628057,172.0,35.0,1506.0,12.0,0.8309178743961353,0.9347826086956522,0.8797953964194374,10.0,4.0,1706.0,5.0,0.7142857142857143,0.6666666666666666,0.689655172413793,2.0,5.0,1652.0,66.0,0.2857142857142857,0.0294117647058823,0.0533333333333333,9.9805,172.837,21.642,1.0,0.0751922700681122,53.0,22.0,263.0,68.0,0.7066666666666667,0.4380165289256198,0.5408163265306123,38.0,2.0,276.0,90.0,0.95,0.296875,0.4523809523809524,0.0,0.0,365.0,41.0,0.0,0.0,0.0,0.0,0.0,342.0,64.0,0.0,0.0,0.0,51.0,23.0,301.0,31.0,0.6891891891891891,0.6219512195121951,0.6538461538461539,0.4635,875.963,110.035,1.0,0.0309634162787819,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,170.0,119.0,0.0,0.0,0.0,0.0,0.0,237.0,52.0,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0.0,0.0,0.0,0.0,0.0,259.0,30.0,0.0,0.0,0.0,0.0,0.0,246.0,43.0,0.0,0.0,0.0,0.0,0.0,279.0,10.0,0.0,0.0,0.0,0.3785,763.567,97.758,1.0
